scenario,T_K,amplitude_bar,taupsi_ps,R,radial_per_ps,tangential_per_ps
memory_effective,0.9,0.0,4.795047586708814,1.0,1.940683501367533,1.940683501367533
memory_effective,0.9,0.1,4.795047586708814,2.160945581619348,0.8980714358911541,4.193711437601737
memory_effective,0.9,0.5,4.795047586708814,9.630272330936679,0.20151906765224098,18.689310626325067
memory_effective,0.9,1.0,4.795047586708814,19.182507152924988,0.10116943973466022,37.22717514654621
memory_effective,4.325,0.0,0.9518304431599228,1.0,1.6649558291440658,1.6649558291440658
memory_effective,4.325,0.1,0.9518304431599228,1.0698588591123241,1.556238764546476,1.7812677438404838
memory_effective,4.325,0.5,0.9518304431599228,2.1482433429497907,0.775031299227901,3.5767302762641884
memory_effective,4.325,1.0,0.9518304431599228,3.9318949429139587,0.42344870687469427,6.546431404786669
memory_effective,8.65,0.0,0.4158249158249159,1.0,1.4418940442177441,1.4418940442177441
memory_effective,8.65,0.1,0.4158249158249159,1.013704660470878,1.4224005279288814,1.4616547125287294
memory_effective,8.65,0.5,0.4158249158249159,1.2999724868278737,1.1091727392909525,1.874422586404041
memory_effective,8.65,1.0,0.4158249158249159,1.9389981604008255,0.7436283714264479,2.7958298992311126
Allmaras_reference,0.9,0.0,47.95047586708815,1.0,1.940683501367533,1.940683501367533
Allmaras_reference,0.9,0.1,47.95047586708815,19.18250715292499,0.10116943973466021,37.227175146546216
Allmaras_reference,0.9,0.5,47.95047586708815,95.78734006537847,0.020260333986129517,185.89291050476126
Allmaras_reference,0.9,1.0,47.95047586708815,191.56685012601173,0.010130581048291816,371.77062544849787
Allmaras_reference,4.325,0.0,9.518304431599228,1.0,1.6649558291440658,1.6649558291440658
Allmaras_reference,4.325,0.1,9.518304431599228,3.9318949429139587,0.42344870687469427,6.546431404786669
Allmaras_reference,4.325,0.5,9.518304431599228,19.039300041041663,0.08744837391894865,31.699593586155167
Allmaras_reference,4.325,1.0,9.518304431599228,38.0391874809549,0.04376948981830014,63.33356693231983
Allmaras_reference,8.65,0.0,4.158249158249158,1.0,1.4418940442177441,1.4418940442177441
Allmaras_reference,8.65,0.1,4.158249158249158,1.938998160400825,0.743628371426448,2.795829899231112
Allmaras_reference,8.65,0.5,4.158249158249158,8.366172760046531,0.17234810773973602,12.06313467560782
Allmaras_reference,8.65,1.0,4.158249158249158,16.642457348714412,0.08663949163307466,23.99666013225914
Korzh_reference,0.9,0.0,57.515418060202165,1.0,1.940683501367533,1.940683501367533
Korzh_reference,0.9,0.1,57.515418060202165,22.99941005344622,0.08437970786458247,44.63457563190965
Korzh_reference,0.9,0.5,57.515418060202165,114.8926523767472,0.016891275997387475,222.97027489590855
Korzh_reference,0.9,1.0,57.515418060202165,229.7787768281838,0.008445877935970875,445.9278811548687
Korzh_reference,4.325,0.0,11.31297709923664,1.0,1.6649558291440658,1.6649558291440658
Korzh_reference,4.325,0.1,11.31297709923664,4.628891470358555,0.3596878085834875,7.706899836048722
Korzh_reference,4.325,0.5,11.31297709923664,22.620033291508534,0.07360536599073367,37.66135628412996
Korzh_reference,4.325,1.0,11.31297709923664,45.20689797404615,0.03682968537456248,75.2674882994092
Korzh_reference,8.65,0.0,4.827361563517916,1.0,1.4418940442177441,1.4418940442177441
Korzh_reference,8.65,0.1,4.827361563517916,2.172397919453807,0.6637338543300902,3.132367621731463
Korzh_reference,8.65,0.5,4.827361563517916,9.694473580921283,0.14873360912091096,13.978403718156665
Korzh_reference,8.65,1.0,4.827361563517916,19.311428534541996,0.07466532274599234,27.845033789292703
