field_nodes,max_energy_error,max_amplitude_error,max_gamma_error
9.000000000000000000e+00,2.331868785318644277e-03,1.628722524650183523e-02,3.715436952771746792e-01
1.700000000000000000e+01,2.235745023902724338e-04,9.515873114681994149e-03,2.020658471978058479e-01
3.300000000000000000e+01,3.201018973386648980e-06,1.040129207764306507e-03,1.102107107535410524e-01
