field_nodes,max_energy_error,max_amplitude_error,max_gamma_error
9.000000000000000000e+00,4.406653405662632750e-01,7.195359570201548927e+00,4.554094774666102907e+00
1.700000000000000000e+01,1.442252259338805409e-04,1.798181451372493633e-02,2.760301071423130193e-01
3.300000000000000000e+01,5.056542300485578068e-06,2.200394967394436740e-03,5.031073443610978302e-03
