frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
1.655000000000000027e+00,1.096614609824999989e-21,1.950237304878049520e-03
1.660000000000000142e+00,1.099927644900000080e-21,1.967863750000000723e-03
1.665000000000000036e+00,1.103240679974999984e-21,1.985521341463415343e-03
1.669999999999999929e+00,1.106553715049999887e-21,2.003140585365853054e-03
1.675000000000000044e+00,1.109866750124999979e-21,2.020755975609756123e-03
1.679999999999999938e+00,1.113179785199999882e-21,2.038366975609756399e-03
1.685000000000000053e+00,1.116492820274999973e-21,2.055974878048780295e-03
1.689999999999999947e+00,1.119805855349999877e-21,2.073612981707316852e-03
1.695000000000000062e+00,1.123118890424999968e-21,2.091212634146341186e-03
1.699999999999999956e+00,1.126431925499999872e-21,2.108809197674418618e-03
1.705000000000000071e+00,1.129744960574999963e-21,2.126400646341463502e-03
1.709999999999999964e+00,1.133057995649999866e-21,2.143989234146341429e-03
1.715000000000000080e+00,1.136371030724999958e-21,2.161609121951220056e-03
1.719999999999999973e+00,1.139684065799999861e-21,2.179189666666666095e-03
1.725000000000000089e+00,1.142997100874999953e-21,2.196766146341463423e-03
1.729999999999999982e+00,1.146310135949999856e-21,2.214339509157508320e-03
1.735000000000000098e+00,1.149623171024999948e-21,2.231907780487805016e-03
1.739999999999999991e+00,1.152936206099999851e-21,2.249509136363636325e-03
1.745000000000000107e+00,1.156249241174999942e-21,2.267069689024390090e-03
1.750000000000000000e+00,1.159562276249999846e-21,2.284785853658536335e-03
1.755000000000000115e+00,1.162875311324999937e-21,2.302790981707317306e-03
1.760000000000000009e+00,1.166188346399999841e-21,2.320960518292682594e-03
1.765000000000000124e+00,1.169501381474999932e-21,2.339385024390243980e-03
1.770000000000000018e+00,1.172814416549999835e-21,2.359450878048779867e-03
1.775000000000000133e+00,1.176127451624999927e-21,2.380495097560974757e-03
1.780000000000000027e+00,1.179440486700000018e-21,2.401849365853659605e-03
1.785000000000000142e+00,1.182753521774999922e-21,2.423514243902438921e-03
1.790000000000000036e+00,1.186066556850000013e-21,2.445533347560976695e-03
1.794999999999999929e+00,1.189379591924999917e-21,2.467820451219512618e-03
1.800000000000000044e+00,1.192692627000000008e-21,2.490417626373626556e-03
1.804999999999999938e+00,1.196005662074999911e-21,2.513326920731707211e-03
1.810000000000000053e+00,1.199318697150000003e-21,2.536551293023256437e-03
1.814999999999999947e+00,1.202631732224999906e-21,2.560123573170731449e-03
1.820000000000000062e+00,1.205944767299999998e-21,2.583965448000000945e-03
1.824999999999999956e+00,1.209257802374999901e-21,2.608116914634145932e-03
1.830000000000000071e+00,1.212570837449999992e-21,2.632580310954064397e-03
1.834999999999999964e+00,1.215883872524999896e-21,2.657374656441717931e-03
1.840000000000000080e+00,1.219196907599999987e-21,2.682589402515724291e-03
1.844999999999999973e+00,1.222509942674999891e-21,2.707916219512195195e-03
1.850000000000000089e+00,1.225822977749999982e-21,2.733270731707317883e-03
1.854999999999999982e+00,1.229136012824999885e-21,2.758650579268291832e-03
1.860000000000000098e+00,1.232449047899999977e-21,2.784087576687116657e-03
1.864999999999999991e+00,1.235762082974999880e-21,2.809539487804877875e-03
1.870000000000000107e+00,1.239075118049999972e-21,2.834997926829268839e-03
1.875000000000000000e+00,1.242388153124999875e-21,2.860482243902439173e-03
1.880000000000000115e+00,1.245701188199999967e-21,2.885992634146341759e-03
1.885000000000000009e+00,1.249014223274999870e-21,2.911572687116564459e-03
1.890000000000000124e+00,1.252327258349999961e-21,2.937289987804877871e-03
1.895000000000000018e+00,1.255640293424999865e-21,2.963713341463414166e-03
