E_over_gap,f_near_gap,f_high_energy,f_FD
1.0,5.169431894162673e-06,1.5722387330321704e-138,0.02886750579568353
1.0038910505836576,7.563437254842146e-06,2.5566367310522711e-138,0.028486461601099466
1.0077821011673151,1.0983696359145045e-05,4.155805118168614e-138,0.02811030151008047
1.0116731517509727,1.583181652371263e-05,6.752691973350192e-138,0.027738966741522247
1.0155642023346303,2.2649879584682297e-05,1.096817376644628e-137,0.027372399121273264
1.0194552529182879,3.216280861368868e-05,1.7808499213309736e-137,0.027010541078571027
1.0233463035019454,4.533096402842306e-05,2.8903866133771997e-137,0.026653335642418768
1.027237354085603,6.341454245465894e-05,4.689431209257381e-137,0.026300726437905653
1.0311284046692606,8.805128354868295e-05,7.605364238863866e-137,0.02595265768247351
1.0350194552529184,0.00012134878678046431,1.2329784432055194e-136,0.02560907418213299
1.038910505836576,0.00016599236240622876,1.9981429986301763e-136,0.025269921327631915
1.0428015564202335,0.00022536874831941814,3.2369296752238807e-136,0.024935145090578485
1.046692607003891,0.00030370517984849366,5.241741253455026e-136,0.024604692019522215
1.0505836575875487,0.0004062221731618907,8.485032513357859e-136,0.024278509235995085
1.0544747081712063,0.0005392969583772661,1.3729890037236927e-135,0.02395654443051532
1.0583657587548638,0.0007106327792230396,2.220834644485274e-135,0.023638745858556496
1.0622568093385214,0.0009294272922799855,3.5908809333898315e-135,0.02332506233648412
1.066147859922179,0.001206531113675196,5.803919803133186e-135,0.02301544323746218
1.0700389105058365,0.0015545852762675677,9.377291514573942e-135,0.02270983848733189
1.0739299610894941,0.001988124119072102,1.5144991998366152e-134,0.02240819856046469
1.0778210116731517,0.0025236281176201,2.445098142536535e-134,0.022110474475591835
1.0817120622568093,0.003179509601004345,3.946018888834427e-134,0.021816617791612498
1.0856031128404668,0.003976013438132238,6.365868167206606e-134,0.021526580603382438
1.0894941634241244,0.004935014874603484,1.0265774911045565e-133,0.021240315537485163
1.0933852140077822,0.0060796980172708485,1.654860734309083e-133,0.020957775747987573
1.0972762645914398,0.007434101217336409,2.6666546895210378e-133,0.020678914912181774
1.1011673151750974,0.009022519954024154,4.2954407068192146e-133,0.02040368722631487
1.105058365758755,0.010868763836295136,6.916466725598997e-133,0.020132047401308587
1.1089494163424125,0.012995271965598524,1.113259659015003e-132,0.01986395065847028
1.11284046692607,0.015422099939621136,1.7912007748087936e-132,0.019599352725196886
1.1167315175097277,0.018165801867507107,2.880896669518105e-132,0.01933820983067355
1.1206225680933852,0.02123824139147408,4.6317670743566876e-132,0.019080478701568364
1.1245136186770428,0.024645376199674815,7.443914176448842e-132,0.01882611655772456
1.1284046692607004,0.028386070083027338,1.1958910622478681e-131,0.01857508110785183
1.132295719844358,0.03245099437514963,1.9205140973695714e-131,0.0183273305452179
1.1361867704280155,0.036821685750978744,3.083038834999812e-131,0.018082823543341862
1.140077821011673,0.041469829043277666,4.947389553426232e-131,0.017841519251690408
1.1439688715953307,0.04635683131086607,7.936131158507312e-131,0.017603377291378248
1.1478599221789882,0.0514337464285135,1.2725568182878278e-130,0.017368357750874055
