kBT_over_gap,u_over_4N0gap2,du_dT_normalized,inverse_absolute_sensitivity,recovered_temperature
0.055,3.916845942457186e-09,1.3338754102153221e-06,749695.2056703512,0.05499999999999999
0.061598173515981736,2.9233242902985527e-08,7.967431069891088e-06,125510.96975021205,0.061598173515981736
0.06819634703196348,1.4881315476515382e-07,3.321959969102134e-05,30102.71072803692,0.06819634703196348
0.0747945205479452,5.71489766819798e-07,0.00010647985007628684,9391.448234417649,0.07479452054794519
0.08139269406392693,1.7725302817035932e-06,0.0002800069571080937,3571.3398350097445,0.08139269406392693
0.08799086757990868,4.657485035279416e-06,0.0006321105078224465,1582.0018614227656,0.08799086757990868
0.09458904109589042,1.0731518983097424e-05,0.0012655783470028332,790.1525831002238,0.09458904109589042
0.10118721461187215,2.224367613597239e-05,0.0023018548144516306,434.43226467705324,0.10118721461187213
0.10778538812785388,4.228299071163311e-05,0.003872578723753554,258.2258673958564,0.10778538812785388
0.11438356164383562,7.481520504541371e-05,0.006110335190536436,163.65714299090823,0.11438356164383562
0.12098173515981736,0.00012466018360053713,0.009140135048254156,109.40757381817991,0.12098173515981736
0.12757990867579908,0.00019741826465854168,0.013072566317467917,76.49607397009514,0.12757990867579905
0.13417808219178082,0.0002993581618274877,0.017999015157761696,55.55859535841166,0.1341780821917808
0.14077625570776256,0.000437280214049664,0.02398894558939618,41.68586719551482,0.14077625570776253
0.1473744292237443,0.0006183678107175111,0.031088979393130226,32.16573909856209,0.14737442922374427
0.15397260273972602,0.000850037673247655,0.03932340348936208,25.430148747692296,0.15397260273972602
0.16057077625570776,0.0011397971052137458,0.04869571077395774,20.535689573193288,0.16057077625570776
0.1671689497716895,0.0014951138123993556,0.059190813809365195,16.894513449682957,0.1671689497716895
0.17376712328767124,0.0019233017028341848,0.07077763025536739,14.128757863070238,0.17376712328767124
0.18036529680365296,0.0024314243099147737,0.08341180566386393,11.988710615255568,0.18036529680365293
0.1869634703196347,0.003026216147512853,0.09703840243230961,10.305198508369537,0.18696347031963467
0.19356164383561644,0.003714021361285118,0.11159443808320764,8.961020075699246,0.19356164383561641
0.20015981735159816,0.004500748420073019,0.12701119990226484,7.873321413934365,0.20015981735159816
0.2067579908675799,0.00539183922612578,0.1432162965981983,6.982445599787841,0.2067579908675799
0.21335616438356164,0.006392250849116012,0.16013543227892105,6.244714150820899,0.21335616438356164
0.21995433789954338,0.007506448052309147,0.17769390525137851,5.627655031754344,0.21995433789954338
0.22655251141552513,0.008738404836111125,0.19581784552464018,5.106786857555165,0.22655251141552513
