t,d_energy,T_energy,u_order,u_exc,d_thermal,T_thermal,u_thermal,entropy,u_naive
0.0,0.35,0.20000000000000007,0.19250156250000003,0.019020000000000013,0.35,0.2,0.21152156250000004,0.19020000000000006,0.21152156250000004
0.004,0.35120736311111095,0.20197853811030292,0.1921302907152858,0.019391271784714226,0.3512073631111047,0.20197853811040611,0.21152156250002183,0.19201319076905504,0.21114344784853234
0.008,0.35241724475195735,0.20394822193064344,0.19175732328595757,0.019764239214042467,0.352417244751945,0.20394822193084092,0.2115215625000422,0.19381624440701112,0.21076345801675558
0.012,0.3536296332446862,0.20590932030340645,0.191382661816687,0.020138900683313036,0.35362963324466806,0.20590932030368997,0.21152156250006124,0.19560941344120272,0.21038159140530446
0.016,0.354844516725453,0.20786209029020197,0.19100630805306185,0.02051525444693819,0.3548445167254292,0.20786209029056413,0.21152156250007906,0.19739293892692295,0.2099978465282537
0.02,0.35606188314381054,0.20980677781874027,0.19062826388280638,0.020893298617193662,0.35606188314378134,0.20980677781917417,0.2115215625000957,0.19916705107824634,0.20961222201459495
0.024,0.35728172026211624,0.21174361828426982,0.1902485313369898,0.021273031163010245,0.3572817202620818,0.21174361828476934,0.21152156250011137,0.20093196985470227,0.20922471660971553
0.028,0.35850401565495726,0.21367283710941148,0.18986711259122163,0.021654449908778402,0.35850401565491774,0.21367283710997098,0.21152156250012608,0.20268790550752327,0.2088353291768776
0.032,0.35972875670859444,0.21559465026584326,0.189484009966834,0.022037552533166027,0.3597287567085499,0.21559465026645774,0.21152156250013993,0.2044350590888242,0.2084440586986973
0.036000000000000004,0.3609559306204254,0.21750926476096055,0.1890992259320498,0.02242233656795023,0.36095593062037606,0.21750926476162508,0.2115215625001529,0.2061736229267479,0.20805090427862466
0.04,0.3621855243984669,0.21941687909233423,0.18871276310313695,0.02280879939686309,0.3621855243984129,0.2194168790930447,0.21152156250016513,0.20790378106932028,0.20765586514242215
0.044,0.363417524860857,0.2213176836725323,0.1883246242455473,0.023196938254452737,0.3634175248607985,0.22131768367328497,0.2115215625001767,0.20962570969950656,0.20725894063964367
0.048,0.3646519186353771,0.22321186122662556,0.18793481227504036,0.023586750224959683,0.36465191863531415,0.22321186122741643,0.21152156250018755,0.21133957752372493,0.20686013024511124
0.052000000000000005,0.36588869215899467,0.22509958716448894,0.18754333025879155,0.023978232241208486,0.3658886921589274,0.22509958716531506,0.21152156250019788,0.213045546135868,0.20645943356039123
0.056,0.36712783167742646,0.22698102992982766,0.18715018141648304,0.024371381083516996,0.36712783167735497,0.22698102993068575,0.2115215625002076,0.21474377035870823,0.20605685031526844
0.06,0.36836932324472316,0.22885635132767085,0.1867553691213787,0.02476619337862135,0.36836932324464755,0.2288563513285583,0.21152156250021678,0.21643439856437915,0.20565238036921765
0.064,0.3696131527228752,0.2307257068319404,0.18635889690138063,0.0251626655986194,0.3696131527227956,0.23072570683285465,0.2115215625002255,0.21811757297549664,0.2052460237128732
0.068,0.37085930578144066,0.2325892458745496,0.18596076844006842,0.025560794059931616,0.3708593057813571,0.23258924587548832,0.21152156250023374,0.2197934299483322,0.2048377804694952
0.07200000000000001,0.37210776789719513,0.2344471121173718,0.1855609875777192,0.025960574922280846,0.37210776789710776,0.23444711211833266,0.21152156250024157,0.2214621002393422,0.20442765089643206
0.076,0.3733585243538042,0.23629944370830056,0.18515955831230907,0.026362004187690972,0.3733585243537131,0.23629944370928166,0.21152156250024895,0.2231237092562393,0.2040156353865802
0.08,0.37461156024151876,0.23814637352252627,0.18475648480049459,0.026765077699505452,0.374611560241424,0.23814637352352583,0.211521562500256,0.22477837729469974,0.2036017344698388
0.084,0.3758668604568936,0.23998802939005756,0.18435177135857406,0.02716979114142598,0.3758668604567953,0.23998802939107358,0.2115215625002627,0.22642621976170613,0.20318594881455962
0.088,0.3771244097025295,0.24182453431043374,0.18394542246342846,0.027576140036571575,0.37712440970242767,0.24182453431146497,0.21152156250026907,0.2280673473864457,0.20276827922899315
0.092,0.37838419248683897,0.24365600665550416,0.1835374427534404,0.02798411974655965,0.3783841924867337,0.243656006656549,0.2115215625002751,0.22970186641961443,0.20234872666272763
0.096,0.37964619312383685,0.2454825603610694,0.18312783702939195,0.02839372547060809,0.3796461931237282,0.24548256036212662,0.2115215625002809,0.23132987882190098,0.20192729220812342
0.1,0.3809103957329547,0.24730430510813128,0.1827166102553397,0.02880495224466034,0.38091039573284274,0.24730430510919962,0.2115215625002864,0.23295148244237535,0.2015039771017404
0.10400000000000001,0.38217678423888074,0.24912134649442935,0.1823037675594669,0.029217794940533146,0.3821767842387655,0.2491213464955074,0.21152156250029164,0.2345667711874421,0.2010787827257588
0.108,0.38344534237142464,0.25093378619689566,0.1818893142349125,0.02963224826508754,0.3834453423713062,0.25093378619798257,0.21152156250029666,0.23617583518097113,0.2006517106093926
0.112,0.384716053665408,0.2527417221256132,0.18147325574057566,0.030048306759424378,0.3847160536652864,0.25274172212670815,0.21152156250030138,0.23777876091617595,0.20022276243029558
0.116,0.3859889014605809,0.25454524856981453,0.1810555977018959,0.030465964798104143,0.38598890146045617,0.25454524857091626,0.21152156250030604,0.2393756313997603,0.19979194001595882
0.12,0.38726386890156445,0.2563444563364198,0.1806363459116086,0.03088521658839144,0.3872638689014366,0.2563444563375277,0.21152156250031037,0.24096652628881887,0.19935924534509952
0.124,0.3885409389378198,0.2581394328815828,0.180215506330474,0.03130605616952603,0.388540938937689,0.258139432882696,0.21152156250031456,0.24255152202094724,0.19892468054904133
0.128,0.3898200943236446,0.259930262435668,0.1797930850879809,0.031728477412019146,0.3898200943235108,0.25993026243678574,0.21152156250031856,0.24413069193797202,0.19848824791308425
0.132,0.39110131761819583,0.2617170261220636,0.17936908848302288,0.03215247401697716,0.39110131761805905,0.2617170261231852,0.21152156250032242,0.2457041064036957,0.198049949877865
0.136,0.39238459118554087,0.26349980207019835,0.17894352298454783,0.03257803951545221,0.3923845911854012,0.2634998020713232,0.21152156250032605,0.2472718329160124,0.1976097890407067
0.14,0.39366989719473594,0.2652786655231088,0.1785163952321794,0.03300516726782062,0.39366989719459344,0.2652786655242364,0.21152156250032958,0.24883393621373215,0.1971677681569572
0.14400000000000002,0.39495721761993297,0.26705368893987885,0.17808771203681015,0.03343385046318988,0.39495721761978764,0.2670536889410086,0.21152156250033302,0.2503904783784265,0.19672389014131636
0.148,0.3962465342405146,0.2688249420932492,0.17765748038116586,0.03386408211883419,0.3962465342403665,0.26882494209438046,0.2115215625003362,0.25194151893158423,0.1962781580691507
0.152,0.39753782864125814,0.2705924921626777,0.17722570742034058,0.03429585507965947,0.3975378286411073,0.2705924921638101,0.21152156250033932,0.2534871149273507,0.19583057517779584
0.156,0.39883108221252866,0.27235640382311116,0.1767924004823016,0.034729162017698434,0.3988310822123751,0.27235640382424436,0.21152156250034235,0.25502732104110304,0.1953811448678455
0.16,0.400126276150501,0.2741167393297109,0.17635756706836392,0.035163995431636126,0.40012627615034474,0.27411673933084424,0.21152156250034523,0.25656218965409805,0.19492987070442738
0.164,0.4014233914574118,0.27587355859875845,0.17592121485363424,0.035600347646365806,0.40142339145725286,0.2758735585998918,0.21152156250034798,0.2580917709344111,0.19447675641846413
0.168,0.40272240894184125,0.2776269192849583,0.17548335168742277,0.03603821081257727,0.4027224089416797,0.2776269192860913,0.2115215625003507,0.25961611291437764,0.1940218059079205
0.17200000000000001,0.40402330921902513,0.2793768768553307,0.17504398559362375,0.0364775769063763,0.404023309218861,0.2793768768564629,0.21152156250035328,0.26113526156472444,0.19356502323903446
0.176,0.4053260727111971,0.281123484659885,0.17460312477106316,0.03691843772893688,0.4053260727110303,0.28112348466101617,0.21152156250035578,0.26264926086557555,0.19310641264753317
0.18,0.4066306796479618,0.2828667939992466,0.17416077759381357,0.03736078490618647,0.4066306796477925,0.28286679400037656,0.21152156250035817,0.2641581528745009,0.1926459785398323
