Omega_over_kBT,two_JS_over_Omega,JR_over_Omega,sum_over_Omega
0.04,0.9900006665956445,0.009999333404435784,1.0000000000000802
0.09635220125786165,0.9759212617292865,0.024078738270794445,1.0000000000000808
0.1527044025157233,0.9618609340827207,0.03813906591736038,1.000000000000081
0.20905660377358493,0.9478307471326254,0.052169252867456044,1.0000000000000813
0.26540880503144654,0.9338416378201998,0.06615836217988226,1.000000000000082
0.3217610062893082,0.9199043717162066,0.0800956282838756,1.0000000000000822
0.3781132075471698,0.906029499882544,0.09397050011753875,1.0000000000000828
0.43446540880503143,0.8922273178323671,0.1077726821677157,1.0000000000000826
0.4908176100628931,0.8785078269536611,0.12149217304642175,1.0000000000000828
0.5471698113207548,0.8648806987184017,0.1351193012816815,1.0000000000000833
0.6035220125786165,0.8513552419522638,0.14864475804781946,1.0000000000000833
0.659874213836478,0.8379403733894342,0.16205962661064915,1.0000000000000835
0.7162264150943397,0.8246445916847439,0.17535540831533927,1.0000000000000833
0.7725786163522014,0.8114759550023488,0.18852404499773437,1.000000000000083
0.8289308176100629,0.7984420622477216,0.2015579377523614,1.000000000000083
0.8852830188679246,0.7855500379589488,0.21444996204113378,1.0000000000000828
0.9416352201257863,0.7728065208252124,0.22719347917486998,1.0000000000000824
0.9979874213836479,0.7602176557557683,0.23978234424431377,1.000000000000082
1.0543396226415096,0.7477890893824054,0.25221091061767653,1.000000000000082
1.1106918238993713,0.7355259688427919,0.26447403115728957,1.0000000000000815
1.167044025157233,0.7234329436616874,0.27656705633839335,1.0000000000000808
1.2233962264150944,0.7115141705218717,0.28848582947820883,1.0000000000000806
1.279748427672956,0.6997733206968948,0.30022667930318514,1.00000000000008
1.3361006289308177,0.6882135899032766,0.3117864100968027,1.0000000000000793
1.3924528301886794,0.6768377103203335,0.32316228967974514,1.0000000000000786
1.448805031446541,0.665647964521122,0.3343520354789562,1.0000000000000782
1.5051572327044027,0.6546462010576155,0.34535379894246204,1.0000000000000775
1.5615094339622644,0.6438338514467477,0.35616614855332906,1.0000000000000766
1.6178616352201258,0.6332119483108541,0.3667880516892219,1.0000000000000762
1.6742138364779875,0.6227811444358355,0.3772188555642398,1.0000000000000755
1.7305660377358492,0.6125417325225129,0.38745826747756185,1.0000000000000748
1.7869182389937108,0.602493665420672,0.3975063345794019,1.000000000000074
1.8432704402515725,0.5926365766507138,0.4073634233493594,1.000000000000073
1.8996226415094342,0.5829698010341979,0.41703019896587457,1.0000000000000724
1.9559748427672958,0.5734923952714986,0.4265076047285731,1.0000000000000717
2.0123270440251573,0.5642031583219115,0.4357968416781594,1.0000000000000708
2.068679245283019,0.555100651458558,0.44489934854151203,1.0000000000000702
2.1250314465408806,0.5461832178870638,0.4538167821130054,1.0000000000000693
2.1813836477987425,0.5374490018330212,0.4625509981670471,1.0000000000000684
2.237735849056604,0.5288959670185033,0.4711040329815644,1.0000000000000677
2.294088050314466,0.5205219144622603,0.47947808553780663,1.0000000000000668
2.3504402515723273,0.5123244995515855,0.4876755004484805,1.000000000000066
2.4067924528301887,0.5043012483461342,0.49569875165393096,1.000000000000065
2.4631446540880506,0.49644957308518384,0.5035504269148805,1.0000000000000644
2.519496855345912,0.4887667868799209,0.5112332131201427,1.0000000000000637
2.575849056603774,0.48125011758135033,0.5187498824187124,1.0000000000000626
2.6322012578616354,0.473896720822372,0.5261032791776901,1.0000000000000622
2.6885534591194973,0.4667036922394957,0.5332963077605656,1.0000000000000613
2.7449056603773587,0.45966807888564154,0.5403319211144189,1.0000000000000604
2.80125786163522,0.45278688985052773,0.5472131101495321,1.0000000000000597
2.857610062893082,0.44605710610938226,0.5539428938906766,1.0000000000000588
2.9139622641509435,0.4394756896241744,0.5605243103758839,1.0000000000000584
2.9703144654088054,0.4330395917243152,0.5669604082757422,1.0000000000000575
3.026666666666667,0.426745760795922,0.5732542392041347,1.0000000000000568
3.0830188679245287,0.4205911493102943,0.5794088506897618,1.0000000000000562
3.13937106918239,0.4145727202233353,0.5854272797767202,1.0000000000000553
3.1957232704402516,0.4086874527782805,0.5913125472217742,1.0000000000000546
3.2520754716981135,0.402932347744356,0.597067652255698,1.0000000000000537
3.308427672955975,0.39730443212392097,0.6026955678761323,1.0000000000000533
3.364779874213837,0.39180076336030684,0.6081992366397457,1.0000000000000526
3.4211320754716983,0.3864184330779925,0.6135815669220593,1.000000000000052
3.47748427672956,0.38115457038599065,0.6188454296140606,1.0000000000000513
3.5338364779874216,0.3760063447744053,0.6239936552256453,1.0000000000000506
3.5901886792452835,0.3709709686330792,0.6290290313669707,1.00000000000005
3.646540880503145,0.366045699420124,0.6339543005799253,1.0000000000000493
3.7028930817610064,0.361227841506923,0.6387721584931257,1.0000000000000488
3.7592452830188683,0.3565147477249568,0.6434852522750913,1.0000000000000482
3.8155974842767297,0.35190382063853026,0.6480961793615172,1.0000000000000475
3.8719496855345916,0.34739251356619727,0.6526074864338497,1.000000000000047
3.928301886792453,0.34297833137240435,0.657021668627642,1.0000000000000464
3.984654088050315,0.33865883104960737,0.6613411689504384,1.0000000000000457
4.041006289308177,0.3344316221098771,0.6655683778901681,1.0000000000000453
4.097358490566038,0.33029436680380075,0.669705633196244,1.0000000000000449
4.1537106918239,0.32624478018331043,0.6737552198167338,1.0000000000000442
4.210062893081761,0.3222806300239447,0.6777193699760989,1.0000000000000437
4.266415094339623,0.3183997366209594,0.6816002633790837,1.000000000000043
4.322767295597485,0.3145999724726684,0.6854000275273743,1.0000000000000426
4.379119496855346,0.3108792618634057,0.6891207381366364,1.000000000000042
4.435471698113208,0.30723558035756243,0.6927644196424793,1.0000000000000417
4.491823899371069,0.3036669542152625,0.6963330457847785,1.0000000000000409
4.548176100628932,0.30017145973940473,0.6998285402606359,1.0000000000000406
4.604528301886793,0.2967472225630068,0.7032527774370334,1.0000000000000402
4.6608805031446545,0.2933924168850474,0.7066075831149925,1.00000000000004
4.717232704402516,0.29010526466230874,0.7098947353377305,1.0000000000000393
4.773584905660377,0.2868840347640701,0.7131159652359688,1.0000000000000389
4.82993710691824,0.28372704209589966,0.7162729579041388,1.0000000000000384
4.886289308176101,0.2806326466982257,0.7193673533018123,1.000000000000038
4.942641509433963,0.27759925282484593,0.7224007471751915,1.0000000000000375
4.998993710691824,0.2746253080060443,0.7253746919939928,1.000000000000037
5.0553459119496855,0.27170930210053607,0.7282906978995008,1.0000000000000369
5.111698113207548,0.26884976634004387,0.7311502336599927,1.0000000000000364
5.168050314465409,0.266045272369922,0.733954727630114,1.000000000000036
5.224402515723271,0.2632944312888914,0.7367055687111442,1.0000000000000357
5.280754716981132,0.2605958926906211,0.7394041073094142,1.0000000000000353
5.3371069182389945,0.25794834370959,0.742051656290445,1.0000000000000349
5.393459119496856,0.2553505080733891,0.7446494919266455,1.0000000000000346
5.449811320754717,0.25280114516336816,0.747198854836666,1.0000000000000342
5.506163522012579,0.2502990490853025,0.7497009509147314,1.000000000000034
5.56251572327044,0.24784304775154115,0.7521569522484924,1.0000000000000335
5.618867924528303,0.24543200197590648,0.7545679980241267,1.000000000000033
5.675220125786164,0.24306480458243857,0.7569351954175944,1.000000000000033
5.7315723270440255,0.24074037952891617,0.7592596204711163,1.0000000000000326
5.787924528301887,0.2384576810459444,0.7615423189540876,1.000000000000032
5.844276729559749,0.23621569279226282,0.763784307207769,1.000000000000032
5.900628930817611,0.23401342702681185,0.7659865729732197,1.0000000000000315
5.956981132075472,0.23184992379798536,0.7681500762020459,1.0000000000000313
6.013333333333334,0.22972425015040196,0.770275749849629,1.000000000000031
6.069685534591195,0.22763549934943864,0.772364500650592,1.0000000000000306
6.126037735849057,0.2255827901236923,0.7744172098763381,1.0000000000000304
6.182389937106919,0.22356526592546577,0.7764347340745643,1.00000000000003
6.23874213836478,0.22158209420930905,0.7784179057907208,1.00000000000003
