gap_Dref,T_for_u_0.02,T_for_u_0.06,T_for_u_0.15,T_for_u_0.3
0.0,0.15593936024673746,0.2700948948471433,0.42705752605032066,0.6039505452538587
0.008333333333333333,0.1557364614942516,0.2699563081482908,0.42695855985453274,0.6038745110709052
0.016666666666666666,0.1553150574807027,0.26964877069173193,0.4267301381594445,0.6036948401028882
0.025,0.154780855700077,0.26923343954487944,0.4264109805921636,0.60343892752069
0.03333333333333333,0.1541897566066617,0.2687428071291473,0.4260216736272167,0.603121343880134
0.041666666666666664,0.15358016975911176,0.26819950011515714,0.425576575034099,0.6027522540739083
0.05,0.15298076971346214,0.2676208799526915,0.4250867403178006,0.6023394890162944
0.058333333333333334,0.1524136765154709,0.2670209732488004,0.42456115967892394,0.6018894229328869
0.06666666666666667,0.1518960717782964,0.26641146583590175,0.4240074013897761,0.6014074309311472
0.075,0.15144115273064182,0.2658022792771371,0.42343198934077547,0.6008981585175509
0.08333333333333333,0.15105877589306385,0.26520193310787626,0.422840643105008,0.6003656937725687
0.09166666666666666,0.15075594770239412,0.2646177865641501,0.4222384396339666,0.5998136839561901
0.1,0.15053723663614021,0.2640562081323456,0.42162992701595686,0.5992454180431376
0.10833333333333334,0.15040514154147516,0.2635226999473272,0.42101920730363557,0.598663887197485
0.11666666666666667,0.15036043045879607,0.26302199309873886,0.4204099985371636,0.5980718303335574
0.125,0.15040245384614753,0.2625581238248385,0.419805682306203,0.5974717692364523
0.13333333333333333,0.150529431370555,0.2621344969916121,0.4192093409922859,0.5968660361603304
0.14166666666666666,0.15073870994076044,0.2617539410353733,0.4186237874903629,0.5962567958750092
0.15,0.15102699094793856,0.2614187571133131,0.4180515893564366,0.595646063531108
0.15833333333333333,0.1513905257973041,0.26113076425009224,0.41749508876898556,0.5950357193208978
0.16666666666666666,0.15182528015222163,0.2608913416165291,0.41695641931370436,0.5944275206471459
0.175,0.15232706851735608,0.26070146862728283,0.416437520338501,0.5938231123292317
0.18333333333333332,0.1528916616938335,0.260561763235907,0.4159401494389912,0.5932240352465669
0.19166666666666665,0.15351487019580531,0.26047251859767995,0.41546589349914614,0.59263173372622
0.2,0.15419260695965145,0.26043373813602566,0.415016178611382,0.592047561913382
0.20833333333333334,0.154920932663244,0.2604451689677377,0.41459227912481506,0.5914727893124191
0.21666666666666667,0.1556960867802611,0.2605063336011872,0.41419532601266795,0.5909086056477922
0.225,0.15651450719131432,0.26061655980863735,0.4138263147051394,0.5903561251646315
0.23333333333333334,0.15737284081596034,0.26077500858169195,0.4134861124991375,0.5898163904658683
0.24166666666666667,0.15826794735891633,0.26098070009663843,0.41317546562879287,0.5892903759648557
0.25,0.1591968979078342,0.26123253764519844,0.41289500605893353,0.5887789910181541
0.2583333333333333,0.16015696979507646,0.2615293295147476,0.412645258046495,0.5882830827917184
0.26666666666666666,0.1611456388513628,0.2618698088326428,0.4124266445012394,0.587803438904478
0.275,0.16216056993497718,0.2622526514170758,0.4122394931664847,0.5873407898857557
0.2833333333333333,0.1631996064183244,0.26267649170138324,0.41208404263224496,0.5868958114767566
0.2916666666666667,0.16426075914730612,0.26313993681903936,0.4119604481868486,0.5864691268012246
0.3,0.16534219525594626,0.26364157895236545,0.41186878750837963,0.5860613084260738
0.30833333333333335,0.16644222711309564,0.26418000605936287,0.4118090661938958,0.585672880329215
0.31666666666666665,0.16755930159560062,0.26475381110030866,0.41178122312208665,0.5853043197887746
0.325,0.16869198981877304,0.26536159988930025,0.41178513564363695,0.5849560592053513
0.3333333333333333,0.16983897740668416,0.26600199769632027,0.41182062459288893,0.5846284878667942
0.3416666666666667,0.1709990553486114,0.2666736547231793,0.411887459114303,0.5843219536631549
0.35,0.17217111146129685,0.26737525057242917,0.4119853612975699,0.5840367647579109
0.35833333333333334,0.17335412245741968,0.2681054978225274,0.4121140106159206,0.5837731912202404
0.36666666666666664,0.17454714660713005,0.2688631448156325,0.41227304816312194,0.5835314666220148
0.375,0.1757493169702839,0.2696469777568127,0.41246208068574813,0.5833117896022396
0.3833333333333333,0.17695983517108274,0.27045582221548325,0.41268068440850547,0.5831143254008837
0.39166666666666666,0.17817796568332397,0.27128854411181763,0.41292840865168123,0.5829392073633896
0.4,0.1794030305927559,0.2721440502629139,0.41320477924094007,0.5827865384166159
0.4083333333333333,0.18063440480260945,0.27302128855579916,0.41350930171097405,0.5826563925165258
0.4166666666666667,0.1818715116489159,0.2739192478070315,0.4138414643055927,0.5825488160675905
0.425,0.1831138188930233,0.2748369573617923,0.4142007407778962,0.5824638293136
0.43333333333333335,0.18436083506103174,0.2757734864789973,0.4145865929951107,0.5824014276993722
0.44166666666666665,0.18561210610044873,0.2767279435431087,0.41499847335343926,0.5823615832027038
0.45,0.18686721232731207,0.2776994751380227,0.4154358270093433,0.5823442456358074
0.4583333333333333,0.18812576563838457,0.27868726501360275,0.4158980939332072,0.5823493439154289
0.4666666666666667,0.1893874069650666,0.2796905329711361,0.41638471079355516,0.5823767873008212
0.475,0.19065180394782,0.280708533690155,0.4168951126786932,0.5824264665987609
0.48333333333333334,0.191918648810831,0.28174055551567806,0.4174287346637662,0.5824982553348389
0.49166666666666664,0.19318765641965197,0.28278591922193413,0.4179850132312689,0.5825920108903109
0.5,0.19445856250483262,0.2838439767660673,0.41856338755304495,0.5827075756038732
0.5083333333333333,0.19573112203681414,0.2849141100426829,0.41916330064184454,0.5828447778378176
0.5166666666666666,0.1970051077384099,0.28599572964919706,0.4197842003804562,0.5830034330081172
0.525,0.198280308722497,0.2870882736683028,0.42042554043629904,0.5831833445781017
0.5333333333333333,0.19955652924367615,0.2881912064745614,0.42108678106919006,0.5833843050154875
0.5416666666666666,0.20083358755369446,0.2893040175692928,0.42176738983978884,0.5836060967126417
0.55,0.20211131485137174,0.29042622044757416,0.4224668422259665,0.5838484928700657
0.5583333333333333,0.20338955431863193,0.29155735150005485,0.42318462215407454,0.5841112583431952
0.5666666666666667,0.20466816023502166,0.2926969689514913,0.42392022245178873,0.5843941504527189
0.575,0.20594699716380616,0.29384465183761116,0.4246731452288912,0.584696919758714
0.5833333333333334,0.20722593920337615,0.2949999990202837,0.42544290219203246,0.5850193107989978
0.5916666666666667,0.2085048692982892,0.2961626282424546,0.42622901489918713,0.5853610627921797
0.6,0.20978367860472658,0.2973321752218086,0.4270310149591903,0.5857219103059793
0.6083333333333333,0.21106226590575602,0.2985082927832904,0.427848444181413,0.5861015838914562
0.6166666666666667,0.21234053707231554,0.29969065002977263,0.4286808546803162,0.5864998106838596
0.625,0.21361840456536993,0.30087893155008194,0.4295278089393087,0.5869163149708694
0.6333333333333333,0.21489578697671516,0.3020728366634471,0.4303888798380264,0.587350818729053
0.6416666666666666,0.21617260860448384,0.30327207869931366,0.43126365064686334,0.5878030421294087
0.65,0.2174487990607462,0.3044763843113874,0.432151714992295,0.5882727040129028
0.6583333333333333,0.21872429290850978,0.30568549282470797,0.4330526767962681,0.588759522336945
0.6666666666666666,0.21999902932570825,0.306899155614517,0.43396615019267754,0.5892632145937644
0.675,0.22127295179398218,0.308117135515663,0.43489175942370284,0.5897834982016773
0.6833333333333333,0.22254600781024864,0.3093392062612806,0.4358291387185504,0.5903200908702428
0.6916666666666667,0.22381814861923213,0.3105651519494849,0.43677793215693167,0.5908727109403161
0.7,0.22508932896528774,0.3117947665368379,0.4377377935194039,0.5914410777000106
0.7083333333333334,0.2263595068619918,0.3130278533573648,0.43870838612651253,0.5920249116775786
0.7166666666666667,0.22762864337810607,0.31426422466592696,0.43968938266849544,0.5926239349122144
0.725,0.22889670243864127,0.3155037012047903,0.44068046502714764,0.5932378712037754
0.7333333333333333,0.23016365063985175,0.3167461117922646,0.4416813240912904,0.5938664463424024
0.7416666666666667,0.2314294570770936,0.3179912929323255,0.44269165956714845,0.5945093883190061
0.75,0.2326940931845655,0.3192390884441747,0.44371117978480923,0.5951664275175672
0.7583333333333333,0.23395753258603522,0.32048934911073124,0.4447396015018162,0.5958372968901758
0.7666666666666666,0.23521975095572634,0.32174193234509035,0.44577664970483905,0.5965217321157174
0.775,0.23648072588860888,0.3229967018740278,0.4468220574102612,0.5972194717430802
0.7833333333333333,0.23774043677939816,0.3242535274376679,0.44787556546443213,0.597930257319744
0.7916666666666666,0.23899886470964507,0.3255122845044753,0.4489369223442458,0.5986538335065714
0.8,0.24025599234216968,0.32677285400076933,0.4500058839586307,0.5993899481796051
0.8083333333333333,0.24151180382279314,0.3280351220539985,0.4510822134514634,0.6001383525196395
0.8166666666666667,0.242766284688002,0.32929897974905115,0.4521656810063541,0.6008988010903117
0.825,0.24401942177899677,0.33056432289691434,0.4532560636536954,0.6016710519054201
0.8333333333333334,0.24527120316119289,0.3318310518150263,0.45435314508030766,0.6024548664861615
0.8416666666666667,0.24652161804871042,0.333099071118705,0.45545671544197214,0.6032500099089343
0.85,0.24777065673396353,0.3343682895230636,0.45656657117909416,0.6040562508443402
0.8583333333333333,0.24901831052149934,0.33563861965485725,0.45768251483570327,0.6048733615879791
0.8666666666666667,0.25026457166609034,0.336909977873735,0.458804354881958,0.6057011180836076
0.875,0.2515094333146909,0.33818228410239587,0.45993190554029517,0.6065392999392041
0.8833333333333333,0.2527528894520089,0.33945546166517926,0.4610649866153322,0.6073876904364559
0.8916666666666666,0.2539949348494495,0.3407294371346414,0.4622034233276062,0.6082460765341577
0.9,0.2552355650172031,0.3420041401856964,0.4633470461512124,0.6091142488659854
0.9083333333333333,0.2564747761592692,0.3432795034569218,0.4644956906553804,0.6099920017330844
0.9166666666666666,0.25771256513117186,0.34455546241865104,0.46564919735001414,0.6108791330918889
