population,u_over_4N0gap2,Xqp_over_4N0gap,third_energy_moment,T_E,max_occupation
Paquete cerca del gap,0.025,0.01751177268423763,0.03589964282924574,0.28443462937853736,0.10063413615348962
Paquete de alta energía,0.025,0.0006952632193314037,0.9029427455483159,0.28443462937853736,0.00814110734420892
Fermi–Dirac equivalente,0.02500000000000001,0.018850943476603238,0.038804190236165596,0.28443462937853736,0.028867505459049633
