field_nodes,max_energy_error,max_amplitude_error,max_gamma_error
9.000000000000000000e+00,2.331868785318533255e-03,1.628722524650205727e-02,2.565356240842608382e-01
1.700000000000000000e+01,1.975604924072671409e-04,9.515873114682049660e-03,1.871552841825430136e-02
3.300000000000000000e+01,4.002544910175487303e-06,1.040129207764362018e-03,2.528455225111359006e-03
