count_cutoff,count_order,energy,amplitude_force,gamma_conjugate
4.000000000000000000e+00,3.200000000000000000e+01,-2.713514830858367310e-01,-2.879717480947867614e-01,7.293722670692415200e-01
4.000000000000000000e+00,6.400000000000000000e+01,-2.716553404000187077e-01,-2.883937719125433397e-01,7.372849992364481908e-01
4.000000000000000000e+00,1.280000000000000000e+02,-2.717829743610488125e-01,-2.885710411210264392e-01,7.370120521089558174e-01
6.000000000000000000e+00,3.200000000000000000e+01,-2.713034089124942705e-01,-2.879051093594487964e-01,7.935077111065050870e-01
6.000000000000000000e+00,6.400000000000000000e+01,-2.715496249965630438e-01,-2.882470759677255301e-01,7.367227101429443259e-01
6.000000000000000000e+00,1.280000000000000000e+02,-2.717847299430425911e-01,-2.885736103649147455e-01,7.370127016764480565e-01
8.000000000000000000e+00,3.200000000000000000e+01,-2.712789417437794226e-01,-2.878711272620155803e-01,7.848631406359101170e-01
8.000000000000000000e+00,6.400000000000000000e+01,-2.714781325035485193e-01,-2.881477809570535675e-01,7.418690771078642054e-01
8.000000000000000000e+00,1.280000000000000000e+02,-2.717721914316911236e-01,-2.885561958620856959e-01,7.370258290162512438e-01
