count_cutoff,count_order,energy,amplitude_force,gamma_conjugate
4.000000000000000000e+00,3.200000000000000000e+01,2.771226437993575820e-01,1.788974211182337570e-01,8.792740843022742725e-01
4.000000000000000000e+00,6.400000000000000000e+01,2.771226434909470626e-01,1.788974208810950040e-01,8.792740845664590577e-01
4.000000000000000000e+00,1.280000000000000000e+02,2.771226415378040819e-01,1.788974125867703047e-01,8.792740978306038402e-01
6.000000000000000000e+00,3.200000000000000000e+01,2.771224028140767404e-01,1.788973540090830483e-01,8.792740817593373004e-01
6.000000000000000000e+00,6.400000000000000000e+01,2.771226435438450819e-01,1.788974209713161678e-01,8.792740844113779985e-01
6.000000000000000000e+00,1.280000000000000000e+02,2.771226422004590129e-01,1.788974135335574811e-01,8.792740978273621000e-01
8.000000000000000000e+00,3.200000000000000000e+01,2.771280772490132271e-01,1.789017384382252940e-01,8.792740731457290293e-01
8.000000000000000000e+00,6.400000000000000000e+01,2.771226435873231919e-01,1.788974210168910450e-01,8.792740843514271765e-01
8.000000000000000000e+00,1.280000000000000000e+02,2.771226430143169939e-01,1.788974165942162353e-01,8.792740933322978902e-01
