field_nodes,max_energy_error,max_amplitude_error,max_gamma_error
1.700000000000000000e+01,4.656210822539391669e-05,5.322674758332479605e-03,1.072375373770112494e-03
3.300000000000000000e+01,5.704743718373816996e-06,5.569053510926513795e-04,5.684339577799457643e-05
6.500000000000000000e+01,2.002560065342273710e-07,8.367822604382624263e-06,5.049019817571220869e-06
