profile,time,excitation_energy,entropy,distance_to_FD,temperature
low_energy,0.0,0.11883620733659973,0.7114061989778918,0.0181351002250279,0.2319678667049777
low_energy,0.0109375,0.11883620733659972,0.7114613430066776,0.01785394155641634,0.2319678667049777
low_energy,0.021875,0.11883620733659972,0.7115147462164056,0.017577141848932887,0.2319678667049777
low_energy,0.032812499999999994,0.11883620733659975,0.7115664647541766,0.01730463352314915,0.2319678667049777
low_energy,0.04375,0.11883620733659973,0.7116165528800484,0.01703635004735865,0.2319678667049777
low_energy,0.0546875,0.11883620733659973,0.7116650630355625,0.0167722259213334,0.2319678667049777
low_energy,0.06562499999999999,0.11883620733659973,0.7117120459094215,0.016512196660332323,0.2319678667049777
low_energy,0.07656249999999999,0.11883620733659973,0.7117575505004645,0.016256198779357606,0.2319678667049777
low_energy,0.0875,0.11883620733659973,0.7118016241780807,0.016004169777655064,0.2319678667049777
low_energy,0.0984375,0.11883620733659973,0.7118443127401737,0.015756048123454935,0.2319678667049777
low_energy,0.109375,0.11883620733659975,0.7118856604688092,0.01551177323894909,0.2319678667049777
low_energy,0.12031249999999999,0.11883620733659973,0.7119257101836511,0.015271285485501301,0.2319678667049777
low_energy,0.13124999999999998,0.11883620733659973,0.7119645032932905,0.015034526149086652,0.2319678667049777
low_energy,0.1421875,0.11883620733659975,0.7120020798445688,0.014801437425956826,0.2319678667049777
low_energy,0.15312499999999998,0.11883620733659973,0.7120384785699835,0.014571962408527567,0.2319678667049777
low_energy,0.1640625,0.11883620733659975,0.7120737369332745,0.01434604507148493,0.2319678667049777
low_energy,0.175,0.11883620733659973,0.712107891173254,0.014123630258106978,0.2319678667049777
low_energy,0.18593749999999998,0.11883620733659975,0.7121409763459837,0.013904663666797434,0.2319678667049777
low_energy,0.196875,0.11883620733659975,0.7121730263653501,0.013689091837828266,0.2319678667049777
low_energy,0.20781249999999998,0.11883620733659973,0.7122040740421214,0.013476862140287704,0.2319678667049777
low_energy,0.21875,0.11883620733659973,0.7122341511215448,0.013267922759230638,0.2319678667049777
low_energy,0.2296875,0.11883620733659973,0.712263288319555,0.01306222268302823,0.2319678667049777
low_energy,0.24062499999999998,0.11883620733659973,0.7122915153576415,0.012859711690913628,0.2319678667049777
low_energy,0.25156249999999997,0.11883620733659972,0.7123188609964426,0.012660340340720805,0.2319678667049777
low_energy,0.26249999999999996,0.11883620733659972,0.7123453530681086,0.012464059956813461,0.2319678667049777
low_energy,0.2734375,0.11883620733659972,0.7123710185074995,0.012270822618201116,0.2319678667049777
low_energy,0.284375,0.11883620733659972,0.7123958833822456,0.012080581146839353,0.2319678667049777
low_energy,0.2953125,0.11883620733659972,0.7124199729217369,0.011893289096111564,0.2319678667049777
low_energy,0.30624999999999997,0.11883620733659972,0.7124433115450713,0.011708900739489186,0.2319678667049777
low_energy,0.31718749999999996,0.11883620733659973,0.7124659228880067,0.011527371059367741,0.2319678667049777
low_energy,0.328125,0.11883620733659973,0.7124878298289606,0.011348655736076046,0.2319678667049777
low_energy,0.3390625,0.11883620733659972,0.7125090545140937,0.011172711137055702,0.2319678667049777
low_energy,0.35,0.11883620733659973,0.712529618381503,0.010999494306208474,0.2319678667049777
low_energy,0.36093749999999997,0.11883620733659972,0.7125495421845744,0.010828962953408655,0.2319678667049777
low_energy,0.37187499999999996,0.11883620733659972,0.7125688460145236,0.010661075444178214,0.2319678667049777
low_energy,0.3828125,0.11883620733659972,0.7125875493221439,0.010495790789521842,0.2319678667049777
low_energy,0.39375,0.11883620733659972,0.7126056709388067,0.010333068635919679,0.2319678667049777
low_energy,0.4046875,0.11883620733659973,0.7126232290967393,0.010172869255475253,0.2319678667049777
low_energy,0.41562499999999997,0.11883620733659972,0.7126402414485968,0.010015153536215987,0.2319678667049777
low_energy,0.42656249999999996,0.11883620733659972,0.7126567250863727,0.009859882972544282,0.2319678667049777
low_energy,0.4375,0.11883620733659972,0.712672696559655,0.009707019655836452,0.2319678667049777
low_energy,0.4484375,0.11883620733659972,0.7126881718932632,0.009556526265187604,0.2319678667049777
low_energy,0.459375,0.11883620733659972,0.7127031666042878,0.009408366058299783,0.2319678667049777
low_energy,0.47031249999999997,0.11883620733659973,0.7127176957185496,0.009262502862511596,0.2319678667049777
