nodes,time,left_energy,right_energy,left_native_R2_energy,right_native_R2_energy,energy_residual,quasiparticle_count
513,0.0,0.5554045171882683,0.0009268553649016303,0.5554258262812362,0.000926658989687737,0.0,0.7703019808802578
513,0.05,0.5533739875181268,0.00295738503504306,0.5533945313210668,0.002957410380059024,-1.1102230246251565e-16,0.7703017346852384
513,0.1,0.5513722410180475,0.004959131535122459,0.5513920178808743,0.004959375593504152,0.0,0.7703014902349429
513,0.15000000000000002,0.5493988480468527,0.006932524506317333,0.5494178562899233,0.006932984298603081,0.0,0.7703012475144959
513,0.2,0.5474533856076476,0.008877986945522427,0.5474716235238547,0.008878659519670781,0.0,0.7703010065091608
513,0.25,0.5455354372423472,0.010795935310822753,0.5455529030991494,0.010796817742220976,0.0,0.7703007672043387
513,0.30000000000000004,0.5436445929279119,0.012686779625258033,0.5436612849693039,0.012687869016721564,-1.1102230246251565e-16,0.7703005295855665
513,0.35000000000000003,0.5417804489742634,0.014550923578906607,0.5417963654226853,0.014552217060669895,0.0,0.7703002936385164
513,0.4,0.5399426079238533,0.016388764629316602,0.5399577469820416,0.01639025935901555,-1.1102230246251565e-16,0.7703000593489935
513,0.45,0.5381306784528586,0.01820069410031141,0.5381450383056402,0.01820238726295774,0.0,0.7702998267029353
513,0.5,0.5363442752739734,0.019987097279196352,0.5363578540900044,0.01998898608714424,-2.220446049250313e-16,0.7702995956864102
513,0.55,0.5345830190407771,0.02174835351239278,0.5345958149742264,0.021750435205297933,-1.1102230246251565e-16,0.7702993662856166
513,0.6000000000000001,0.5328465362536445,0.023484836299525424,0.5328585474458258,0.023487108144296977,0.0,0.7702991384868806
513,0.65,0.5311344591671814,0.02519691338598858,0.5311456837481332,0.025199372676734003,0.0,0.7702989122766558
513,0.7000000000000001,0.529446425699154,0.026884946854015927,0.5294568617891691,0.02688759091197926,-1.1102230246251565e-16,0.7702986876415212
513,0.75,0.5277820793408912,0.028549293212278778,0.5277917250519971,0.028552119385772408,-1.1102230246251565e-16,0.7702984645681814
513,0.8,0.526141069069133,0.03019030348403676,0.5261499225065259,0.03019330914836702,-2.220446049250313e-16,0.7702982430434633
513,0.8500000000000001,0.524523049259305,0.0318083232938649,0.5245311085227347,0.03181150585125166,-1.1102230246251565e-16,0.7702980230543167
513,0.9,0.5229276796001896,0.033403692952980284,0.5229349427853021,0.033407049832470864,-1.1102230246251565e-16,0.770297804587812
513,0.9500000000000001,0.5213546250099784,0.034976747543191467,0.5213610902096124,0.034980276200569045,-1.1102230246251565e-16,0.7702975876311403
513,1.0,0.5198035555536767,0.036527816999493125,0.5198092208591177,0.03653151491717984,-1.1102230246251565e-16,0.77029737217161
513,1.05,0.5182741463618415,0.03805722619132831,0.5182790098640329,0.03806109087828327,-1.1102230246251565e-16,0.7702971581966485
