time,amplitude,gamma,temperature,total_energy,field_work,heat_work,energy_residual,incorrect_residual_without_field_work
0.0,0.72,0.1,0.0,-0.3197325061224042,0.0,0.0,0.0,0.0
0.00625,0.72025,0.1002945195801145,0.07199281396512047,-0.31924794091726216,0.00023456520514306904,0.00025000000000000006,-1.0067359272614151e-15,0.0002345652051420623
0.0125,0.7204999999999999,0.10058901077381885,0.07893270559173027,-0.31876321062764523,0.0004692954947609569,0.0005000000000000001,-1.964357496109237e-15,0.00046929549475899256
0.018750000000000003,0.72075,0.1008834451974389,0.08357080136655966,-0.3182783449011715,0.0007041612212351065,0.0007500000000000002,-2.3985804661896815e-15,0.000704161221232708
0.025,0.721,0.10117779447277206,0.08716481761661729,-0.31779337148997494,0.0009391346324321898,0.0010000000000000002,-2.9054449818266548e-15,0.0009391346324292844
0.03125,0.72125,0.10147203022982254,0.09014584616107162,-0.3173083177535682,0.001174188368839442,0.0012500000000000002,-3.4310661950476273e-15,0.0011741883688360108
0.037500000000000006,0.7214999999999999,0.10176612410953567,0.09271799104918561,-0.3168232115536888,0.001409294568719456,0.0015000000000000002,-4.041472018156966e-15,0.0014092945687154146
0.043750000000000004,0.72175,0.10206004776653121,0.0949954215929689,-0.316338081066171,0.0016444250562378884,0.0017500000000000003,-4.6696587568950676e-15,0.0016444250562332187
0.05,0.722,0.10235377287183535,0.09704901419881766,-0.31585295467821656,0.001879551444193044,0.0020000000000000005,-5.3767754137901136e-15,0.0018795514441876673
0.05625,0.72225,0.10264727111561109,0.09892604859810979,-0.31536786092516733,0.0021146451972431177,0.0022500000000000007,-6.224621512673778e-15,0.002114645197236893
0.0625,0.7224999999999999,0.10294051420988683,0.10065977350915384,-0.3148828284482446,0.0023496776741664892,0.002500000000000001,-6.876443858772063e-15,0.002349677674159613
0.06875,0.72275,0.10323347389128279,0.1022745367675959,-0.31439788596451335,0.002584620157898684,0.002750000000000001,-7.805821961026638e-15,0.002584620157890878
0.07500000000000001,0.723,0.10352612192373513,0.1037887494179455,-0.31391306224447624,0.0028194438779366024,0.0030000000000000014,-8.615937824307807e-15,0.0028194438779279864
0.08125,0.72325,0.1038184301012174,0.10521670091471973,-0.31342838609469514,0.0030541200277184816,0.0032500000000000016,-9.4017675589253e-15,0.00305412002770908
0.08750000000000001,0.7234999999999999,0.10411037025045905,0.10656972401206757,-0.3129438863438592,0.0032886197785551123,0.003500000000000002,-1.0112136822337803e-14,0.003288619778545
0.09375,0.72375,0.10440191423366085,0.10785697167592989,-0.3124595918313038,0.0035229142911115054,0.003750000000000002,-1.1066668414994041e-14,0.0035229142911004387
0.1,0.724,0.10469303395120694,0.10908595223637006,-0.31197553139731776,0.003756974725098456,0.004000000000000002,-1.1994745474641633e-14,0.003756974725086461
0.10625000000000001,0.72425,0.10498370134437297,0.11026290827360415,-0.311491733874793,0.003990772247623978,0.004250000000000002,-1.2763227974499358e-14,0.003990772247611215
0.1125,0.7244999999999999,0.10527388839803065,0.11139309128941444,-0.31100822808189743,0.004224278040520416,0.004500000000000002,-1.3623650818583855e-14,0.004224278040506792
0.11875000000000001,0.72475,0.10556356714334773,0.11248096497279357,-0.31052504281554455,0.004457463306874312,0.0047500000000000025,-1.4638464052030287e-14,0.004457463306859673
0.125,0.725,0.10585270966048385,0.11353035837073311,-0.31004220684549394,0.00469029927692578,0.005000000000000003,-1.5497152172638806e-14,0.004690299276910283
0.13125,0.72525,0.1061412880812814,0.11454458317588427,-0.3095597489089584,0.0049227572134621115,0.005250000000000003,-1.6265634672496532e-14,0.004922757213445846
0.1375,0.7254999999999999,0.10642927459195153,0.11552652483156187,-0.309077697705621,0.005154808416800418,0.005500000000000003,-1.7186772838240216e-14,0.0051548084167832315
0.14375000000000002,0.72575,0.10671664143575496,0.11647871421383499,-0.3085960818929899,0.0053864242294324625,0.005750000000000003,-1.8166891602167112e-14,0.005386424229414296
0.15000000000000002,0.726,0.10700336091567716,0.1174033846894142,-0.30811493008203444,0.005617576040388799,0.006000000000000004,-1.902124291408569e-14,0.005617576040369778
0.15625,0.72625,0.10728940539709791,0.11830251801336171,-0.3076342708330567,0.005848235289367404,0.006250000000000004,-1.9905084525095873e-14,0.005848235289347499
0.1625,0.7264999999999999,0.10757474731045474,0.11917788160536588,-0.30715413265176217,0.006078373470662882,0.006500000000000004,-2.0828824776053523e-14,0.006078373470642053
0.16875,0.72675,0.10785935915390013,0.12003105909104139,-0.3066745439855006,0.006307962136925331,0.006750000000000004,-2.1701390684469857e-14,0.006307962136903629
0.17500000000000002,0.727,0.10814321349595224,0.12086347552782076,-0.3061955332196542,0.006536972902772565,0.0070000000000000045,-2.254793574074654e-14,0.006536972902750017
0.18125000000000002,0.72725,0.10842628297813878,0.1216764183961081,-0.3057171286741526,0.00676537744827509,0.007250000000000005,-2.3496829482105852e-14,0.006765377448251593
0.1875,0.7274999999999999,0.10870854031763387,0.12247105518719886,-0.3052393586000987,0.006993147522329869,0.007500000000000005,-2.4358119687928337e-14,0.006993147522305511
0.19375,0.72775,0.1089899583098877,0.12324844823409474,-0.30476225117649336,0.007220254945936225,0.007750000000000005,-2.5364259303994885e-14,0.007220254945910861
0.2,0.728,0.10927050983124843,0.12400956729190565,-0.30428583450704544,0.007446671615385014,0.008000000000000005,-2.6232488403721277e-14,0.0074466716153587815
0.20625000000000002,0.72825,0.10955016784157649,0.12475530026857895,-0.3038101366170608,0.007672369505370477,0.008250000000000006,-2.705648205481026e-14,0.00767236950534342
0.21250000000000002,0.7284999999999999,0.1098289053868508,0.12548646242541867,-0.30333518545039956,0.007897320672032694,0.008500000000000006,-2.8033131371785203e-14,0.007897320672004661
0.21875,0.72875,0.11010669560176661,0.12620380430395978,-0.30286100886649575,0.00812149725593739,0.008750000000000006,-2.892130979148533e-14,0.008121497255908468
0.225,0.729,0.1103835117123248,0.1269080185866809,-0.3023876346374352,0.008344871484998857,0.009000000000000006,-2.9814692381613384e-14,0.008344871484969043
0.23125,0.72925,0.11065932703841248,0.12759974606044297,-0.3019150904450839,0.008567415677350929,0.009250000000000006,-3.06213387979426e-14,0.008567415677320308
0.23750000000000002,0.7294999999999999,0.1109341149963745,0.12827958082096833,-0.30144340387826557,0.008789102244170248,0.009500000000000007,-3.159972283839352e-14,0.008789102244138649
