time,amplitude,temperature,total_energy,vacuum_energy,excitation_energy,converted_heat,energy_residual
0.0,0.6,0.18918355867258418,-0.3093819818917019,-0.3638972245557566,0.05451524266405474,0.0,0.0
0.01875,0.6020212537205046,0.19059567140109668,-0.3093819818916037,-0.3651342312974705,0.05575224940586682,0.0010894607090771182,9.81992265280951e-14
0.0375,0.6040310159230582,0.19198376469002665,-0.3093819818915078,-0.36636021505744537,0.05697823316593757,0.002166568726279884,1.9412249585570862e-13
0.056249999999999994,0.6060293401242532,0.19334866356091684,-0.3093819818914141,-0.36757524987936674,0.05819326798795263,0.003231451516927804,2.8782531913407183e-13
0.075,0.6080162796567177,0.19469114201155413,-0.3093819818913226,-0.36877940988202657,0.05939742799070399,0.0042842353719901825,3.7930769636318473e-13
0.09375,0.6099918876781136,0.19601192750050841,-0.30938198189123317,-0.36997276924713857,0.060590787355905396,0.00532504542659775,4.687361609967411e-13
0.11249999999999999,0.6119562171789978,0.19731170493632666,-0.3093819818911457,-0.37115540220687654,0.06177342031573086,0.006354005677039082,5.562217353372034e-13
0.13125,0.6139093209896692,0.19859112023639092,-0.30938198189106025,-0.3723273830312145,0.06294540114015422,0.007371238996416977,6.416533970821092e-13
0.15,0.6158512517861144,0.19985078351058966,-0.3093819818909765,-0.3734887860151346,0.06410680412415809,0.008376867149119078,7.254197242900773e-13
0.16874999999999998,0.6177820620951489,0.20109127191693693,-0.30938198189089455,-0.3746396854657646,0.06525770357487005,0.009371010804238935,8.073541835074138e-13
0.1875,0.6197018042988407,0.20231313222929448,-0.30938198189081434,-0.37578015568949374,0.06639817379867943,0.010353789548067805,8.875677970365814e-13
0.20625,0.6216105306382955,0.20351688315183858,-0.30938198189073574,-0.37691027097911306,0.06752828908837735,0.011325321895763652,9.661715871800425e-13
0.22499999999999998,0.6235082932168703,0.2047030174100342,-0.3093819818906587,-0.3780301056010187,0.06864812371035998,0.012285725302291625,1.0432210650890283e-12
0.24375,0.6253951440028783,0.20587200364386588,-0.3093819818905832,-0.3791397337825114,0.06975775189192823,0.013235116172719602,1.118716230763539e-12
0.2625,0.6272711348318405,0.20702428812563392,-0.30938198189050936,-0.380239229699222,0.07085724780871266,0.01417360987194298,1.1925460619011119e-12
0.28125,0.6291363174083316,0.20816029632180744,-0.309381981890437,-0.3813286674626866,0.07194668557224962,0.015101320733904555,1.2649326031066721e-12
0.3,0.6309907433074662,0.2092804343157333,-0.30938198189036603,-0.3824081211080947,0.07302613921772866,0.016018362070368032,1.3358758543802196e-12
0.31875,0.6328344639760627,0.21038509010616982,-0.3093819818902964,-0.3834776645822273,0.07409568269193091,0.01692484617929718,1.405486838024217e-12
0.33749999999999997,0.6346675307335226,0.21147463479452888,-0.3093819818902281,-0.3845373717316017,0.07515538984137361,0.01782088435288691,1.4738210651898953e-12
0.35625,0.6364899947724548,0.21254942367228757,-0.3093819818901611,-0.38558731629083515,0.07620533440067406,0.018706586885287382,1.5408230247260235e-12
0.375,0.6383019071590751,0.21360979721862713,-0.3093819818900953,-0.3866275718712394,0.07724558998114411,0.01958206308005785,1.606603738935064e-12
0.39375,0.640103318833405,0.21465608201719014,-0.3093819818900308,-0.3876582119496554,0.07827623005962459,0.020447421257382706,1.6711076966657856e-12
0.4125,0.6418942806092949,0.2156885915998274,-0.30938198188996757,-0.3886793098575344,0.07929732796756683,0.02130276876107879,1.7343348979181883e-12
0.43124999999999997,0.6436748431742904,0.21670762722431972,-0.30938198188990546,-0.3896909387702734,0.08030895688036795,0.022148211965419693,1.7964518761459658e-12
0.44999999999999996,0.6454450570893617,0.21771347859228476,-0.30938198188984445,-0.39069317169680834,0.08131118980696386,0.02298385628179997,1.857458631349118e-12
0.46875,0.6472049727885127,0.21870642451280312,-0.3093819818897847,-0.391686081469469,0.08230409957968429,0.02380980616525962,1.9171886300739516e-12
0.4875,0.6489546405782846,0.21968673351670379,-0.30938198188972593,-0.3926697407340978,0.08328775884437188,0.024626165120886948,1.9759749392278536e-12
0.50625,0.6506941106371673,0.22065466442592793,-0.3093819818896682,-0.3936442219404354,0.08426224005076721,0.025433035710115758,2.0337065365083618e-12
0.525,0.6524234330149333,0.22161046688193045,-0.30938198188961163,-0.3946095973327721,0.08522761544316047,0.02623051955693118,2.0902723996130135e-12
0.54375,0.6541426576319013,0.22255438183667461,-0.309381981889556,-0.3955659389408659,0.08618395705130988,0.027018717353996663,2.145894573146734e-12
0.5625,0.6558518342781423,0.2234866420094155,-0.3093819818895014,-0.3965133185711278,0.08713133668162643,0.027797728868713265,2.2005175459582915e-12
0.5812499999999999,0.6575510126126375,0.22440747231215236,-0.30938198188944777,-0.3974518077980715,0.08806982590862372,0.028567652949221034,2.2541413180476866e-12
0.6,0.6592402421623931,0.22531709024634664,-0.30938198188939503,-0.3983814779560263,0.08899949606663127,0.029328587530351145,2.3068769117173815e-12
0.61875,0.6609195723215229,0.2262157062732542,-0.3093819818893433,-0.39930240013111296,0.08992041824176966,0.030080629639536356,2.358613304664914e-12
0.6375,0.6625890523503026,0.22710352415999538,-0.30938198188929245,-0.4002146451534771,0.09083266326418467,0.03082387540268644,2.409461519192746e-12
0.65625,0.6642487313742033,0.2279807413032882,-0.3093819818892425,-0.4011182835897804,0.0917363017005379,0.0315584200500344,2.459421555300878e-12
0.6749999999999999,0.665898658382908,0.22884754903259316,-0.3093819818891934,-0.4020133857359444,0.092631403846751,0.03228435792195849,2.50849341298931e-12
0.69375,0.667538882229318,0.22970413289425767,-0.3093819818891453,-0.40290002161014543,0.09351803972100015,0.033001782474784476,2.5566215811068105e-12
