T_K_conditional_THz,variant,U_original_DOS_units,C_original_DOS_units
0.5,first_regular_origin,8.999036544029189e-11,7.19543107357276e-10
0.5,last_regular_origin,8.999036544029189e-11,7.19543107357276e-10
0.5,mean_regular_origin,8.999036544029189e-11,7.19543107357276e-10
0.5,clip_F_only,8.999036544029189e-11,7.19543107357276e-10
0.5,common_support_v1,8.999036544029189e-11,7.19543107357276e-10
0.5,source_floor,8.999036012197156e-11,7.1954309644184e-10
0.5,source_product_of_interpolants,8.999036012197156e-11,7.1954309644184e-10
1.0,first_regular_origin,1.4387027283209679e-09,5.754044008067697e-09
1.0,last_regular_origin,1.4387027283209679e-09,5.754044008067697e-09
1.0,mean_regular_origin,1.4387027283209679e-09,5.754044008067697e-09
1.0,clip_F_only,1.4387027283209679e-09,5.754044008067697e-09
1.0,common_support_v1,1.4387027283209679e-09,5.754044008067697e-09
1.0,source_floor,1.438702717543992e-09,5.754043997149448e-09
1.0,source_product_of_interpolants,1.438702717543992e-09,5.754043997149448e-09
2.0,first_regular_origin,2.3018756417876648e-08,4.6059206681138866e-08
2.0,last_regular_origin,2.3018756417876648e-08,4.6059206681138866e-08
2.0,mean_regular_origin,2.3018756417876648e-08,4.6059206681138866e-08
2.0,clip_F_only,2.3018756417876648e-08,4.6059206681138866e-08
2.0,common_support_v1,2.3018756417876648e-08,4.6059206681138866e-08
2.0,source_floor,2.301875639618095e-08,4.605920667021991e-08
2.0,source_product_of_interpolants,2.301875639618095e-08,4.605920667021991e-08
4.0,first_regular_origin,3.8063659819892886e-07,3.9532403949721507e-07
4.0,last_regular_origin,3.8063659819893193e-07,3.9532403949723275e-07
4.0,mean_regular_origin,3.806365981989304e-07,3.953240394972239e-07
4.0,clip_F_only,3.8063659819892886e-07,3.9532403949721507e-07
4.0,common_support_v1,3.8063659819892886e-07,3.9532403949721507e-07
4.0,source_floor,3.80636598155395e-07,3.953240394862959e-07
4.0,source_product_of_interpolants,3.80636598155395e-07,3.953240394862959e-07
8.65,first_regular_origin,1.1105446871516917e-05,5.889385730346188e-06
8.65,last_regular_origin,1.1105446872347958e-05,5.889385731380832e-06
8.65,mean_regular_origin,1.1105446871932437e-05,5.88938573086351e-06
8.65,clip_F_only,1.1105446871516917e-05,5.889385730346188e-06
8.65,common_support_v1,1.1105446871516917e-05,5.889385730346188e-06
8.65,source_floor,1.110544687142261e-05,5.889385730335269e-06
8.65,source_product_of_interpolants,1.110544687142261e-05,5.889385730335269e-06
10.0,first_regular_origin,2.1738069800074694e-05,1.0171445490439109e-05
10.0,last_regular_origin,2.1738069803631304e-05,1.0171445493752453e-05
10.0,mean_regular_origin,2.1738069801853e-05,1.0171445492095782e-05
10.0,clip_F_only,2.1738069800074694e-05,1.0171445490439109e-05
10.0,common_support_v1,2.1738069800074694e-05,1.0171445490439109e-05
10.0,source_floor,2.1738069799965644e-05,1.017144549042819e-05
10.0,source_product_of_interpolants,2.1738069799965644e-05,1.017144549042819e-05
20.0,first_regular_origin,0.0007841629183461925,0.0002283296955404784
20.0,last_regular_origin,0.0007841629187245511,0.0002283296956294345
20.0,mean_regular_origin,0.0007841629185353718,0.00022832969558495646
20.0,clip_F_only,0.0007841629183461926,0.00022832969554047877
20.0,common_support_v1,0.0007841629183461926,0.00022832969554047877
20.0,source_floor,0.0007841629183459744,0.00022832969554046782
20.0,source_product_of_interpolants,0.0007841629183459744,0.00022832969554046782
40.0,first_regular_origin,0.03605929538079232,0.0042213236734603915
40.0,last_regular_origin,0.0360592953851043,0.004221323673754565
40.0,mean_regular_origin,0.03605929538294832,0.00422132367360748
40.0,clip_F_only,0.036059295623476116,0.00422132380360045
40.0,common_support_v1,0.036059295623476116,0.00422132380360045
40.0,source_floor,0.03605929562347568,0.004221323803600439
40.0,source_product_of_interpolants,0.03605929562347568,0.004221323803600439
80.0,first_regular_origin,0.4697526037443167,0.0169666813429988
80.0,last_regular_origin,0.46975260386699336,0.01696668135311984
80.0,mean_regular_origin,0.46975260380565503,0.01696668134805932
80.0,clip_F_only,0.46976533413414084,0.016968434390002098
80.0,common_support_v1,0.46976533413414084,0.016968434390002098
80.0,source_floor,0.46976533413413996,0.016968434390002087
80.0,source_product_of_interpolants,0.46976533413413996,0.016968434390002087
160.0,first_regular_origin,2.5583963094707665,0.03404329558364449
160.0,last_regular_origin,2.5583963131951517,0.034043295660312375
160.0,mean_regular_origin,2.5583963113329586,0.03404329562197843
160.0,clip_F_only,2.5616688657266833,0.03415790500542388
160.0,common_support_v1,2.5616688657266833,0.03415790500542388
160.0,source_floor,2.5616688657266815,0.034157905005423865
160.0,source_product_of_interpolants,2.5616688657266815,0.034157905005423865
300.0,first_regular_origin,8.5726223593816,0.04931896681391128
300.0,last_regular_origin,8.572622375730695,0.049318966904012926
300.0,mean_regular_origin,8.572622367556148,0.0493189668589621
300.0,clip_F_only,8.619439878861346,0.049810879313462786
300.0,common_support_v1,8.619439878861346,0.049810879313462786
300.0,source_floor,8.619439878861344,0.04981087931346277
300.0,source_product_of_interpolants,8.619439878861344,0.04981087931346277
600.0,first_regular_origin,24.963572005663245,0.05760154088466885
600.0,last_regular_origin,24.963572045332597,0.05760154095321415
600.0,mean_regular_origin,24.963572025497925,0.057601540918941506
600.0,clip_F_only,25.220030082956292,0.058427170642979545
600.0,common_support_v1,25.220030082956292,0.058427170642979545
600.0,source_floor,25.220030082956285,0.05842717064297953
600.0,source_product_of_interpolants,25.220030082956285,0.05842717064297953
1000.0,first_regular_origin,48.53866950151131,0.05975965594781342
1000.0,last_regular_origin,48.53866956647663,0.05975965600763186
1000.0,mean_regular_origin,48.53866953399397,0.059759655977722634
1000.0,clip_F_only,49.15070075261801,0.060688405897731376
1000.0,common_support_v1,49.15070075261801,0.060688405897731376
1000.0,source_floor,49.15070075261799,0.06068840589773136
1000.0,source_product_of_interpolants,49.15070075261799,0.06068840589773136
