t_over_tau0,t_ps,a_over_kBTc,TE_over_Tc,energy_total,force,QDelta,u_qp
0.0,0.0,1.0583261933172272,0.10404624277450912,-1.1321062287903623,-1.0811774085358132,0.06818393978233137,7.338946083943054e-05
0.7142857142857143,0.24769008414665733,1.1452489286922016,0.298851424056132,-1.1321062287971373,-0.92772880154619,0.12196298775797519,0.09015902594046882
1.4285714285714286,0.49538016829331466,1.2359514557644955,0.3632763584465504,-1.1321062288214154,-0.7706468621748934,0.09261240238480326,0.17499952142462177
2.142857142857143,0.743070252439972,1.3154436088367694,0.4058184473531107,-1.1321062287910952,-0.6318928746000062,0.0645247662710332,0.2406833338168221
2.857142857142857,0.9907603365866293,1.3819136586775773,0.43556934011137743,-1.1321062287926853,-0.5143179044532322,0.04334467611571742,0.28878556371046615
3.5714285714285716,1.2384504207332867,1.4363626237123444,0.45691234538949177,-1.1321062288143144,-0.4167454395203445,0.02858739652381384,0.32323155869598375
4.285714285714286,1.486140504879944,1.4805136794026643,0.47249136914385875,-1.1321062288063923,-0.33673433474559566,0.018669011030464942,0.34771451790221664
5.0,1.7338305890266015,1.5161271769982378,0.4840239642038896,-1.1321062287920176,-0.27159646669773807,0.012125262768501725,0.3651255905087646
5.714285714285714,1.9815206731732586,1.5447759879642906,0.49266532540144825,-1.1321062288068706,-0.2188051859040214,0.00785125972832497,0.3775722018975367
6.428571428571429,2.2292107573199162,1.5677906885242234,0.49920967504631863,-1.1321062287703758,-0.17614212630464654,0.00507533282322898,0.3865412075641038
7.142857142857143,2.4769008414665734,1.5862677174211681,0.5042125184631939,-1.1321062287363912,-0.14172723896824863,0.003278012006704491,0.39306630161010103
7.857142857142858,2.724590925613231,1.6010984263361203,0.5080683011025356,-1.1321062287816122,-0.11399885718081113,0.00211628765100069,0.3978625430561674
8.571428571428571,2.972281009759888,1.6130022775252233,0.5110610445062126,-1.1321062287551331,-0.09167523414755607,0.0013660563696816749,0.4014250061044302
9.285714285714286,3.219971093906546,1.6225578150444377,0.5133979618576238,-1.1321062287903076,-0.07371212739174243,0.0008817663905522547,0.40409806955224875
10.0,3.467661178053203,1.6302293955518732,0.5152321049080127,-1.132106228761613,-0.05926274655139924,0.0005691950702567556,0.40612304435979374
10.714285714285715,3.715351262199861,1.636389420353755,0.5166778236153817,-1.1321062287408676,-0.047642457901643315,0.00036745639842461676,0.4076705688692473
11.428571428571429,3.9630413463465173,1.6413364618066975,0.5178214516459985,-1.132106228784877,-0.03829881561762971,0.00023724248538468584,0.40886255579044795
12.142857142857142,4.210731430493174,1.6453099212452427,0.5187287917200079,-1.1321062287685097,-0.030786586232410762,0.00015318649921469913,0.4097870726723377
12.857142857142858,4.4584215146398325,1.6485017887037798,0.519450419373332,-1.1321062287601984,-0.024747252867815178,9.892058526192204e-05,0.41050845849862533
13.571428571428571,4.70611159878649,1.6510660745163042,0.5200254934192027,-1.1321062287493535,-0.0198922837231523,6.38831912206019e-05,0.41107424615963795
14.285714285714286,4.953801682933147,1.6531263517605614,0.5204845247149045,-1.1321062287803143,-0.01598956714071692,4.1258739518842556e-05,0.4115199314308988
15.0,5.201491767079804,1.6547818053859302,0.5208514166063298,-1.1321062287589636,-0.012852412288776427,2.6648348238351736e-05,0.4118722922694587
15.714285714285715,5.449181851226462,1.6561120659156199,0.5211449818487445,-1.132106228756426,-0.010330684582487704,1.7212531322657855e-05,0.4121517182884674
16.42857142857143,5.696871935373119,1.6571810613941595,0.5213800798894367,-1.132106228760429,-0.008303693650472982,1.1118257689796116e-05,0.4123738616653443
17.142857142857142,5.944562019519776,1.6580401399666682,0.5215684886612899,-1.1321062287780048,-0.006674394853735971,7.181965312354569e-06,0.41255083014763944
17.857142857142858,6.192252103666434,1.658730546290189,0.521719567039903,-1.132106228768333,-0.00536477141410574,4.639400024407946e-06,0.4126920489624984
18.571428571428573,6.439942187813092,1.6592854133609536,0.5218407676558149,-1.1321062287648553,-0.004312107014744493,2.997022359876628e-06,0.4128048954898861
19.285714285714285,6.687632271959748,1.6597313696165439,0.5219380376548082,-1.132106228751635,-0.003465969612499342,1.936071537512096e-06,0.4128951731737525
20.0,6.935322356106406,1.6600897788769777,0.5220161211834209,-1.1321062287774244,-0.0027858800209586976,1.2507349962911268e-06,0.41296745739936835
20.714285714285715,7.183012440253064,1.660377845521513,0.5220788209358087,-1.1321062287775725,-0.0022392283905389165,8.080011618506421e-07,0.4130253799663477
21.42857142857143,7.430702524399722,1.6606093733892888,0.5221291766099034,-1.132106228774623,-0.001799842945424207,5.21992279969835e-07,0.4130718210621721
22.142857142857142,7.678392608546377,1.6607954596817829,0.5221696245076827,-1.1321062287708314,-0.001446678769810389,3.3722729012100953e-07,0.4131090742224271
22.857142857142858,7.926082692693035,1.6609450356170368,0.5222021206132421,-1.1321062287711645,-0.001162795401691702,2.1785721410831833e-07,0.4131389710806034
23.571428571428573,8.173772776839694,1.6610652593777244,0.5222282295678823,-1.1321062287649837,-0.0009346134098338899,1.407403949546245e-07,0.4131629706212704
24.285714285714285,8.421462860986349,1.661161876936504,0.522249205345634,-1.132106228777948,-0.0007512311111341208,9.092710621708973e-08,0.41318223808861243
25.0,8.669152945133007,1.66123954083518,0.5222660619896914,-1.1321062287776265,-0.0006038204682439485,5.8742855945403895e-08,0.41319771310577647
25.714285714285715,8.916843029279665,1.6613019630592605,0.5222796077252216,-1.1321062287770671,-0.00048533760199120923,3.795087330373466e-08,0.41321014290410035
26.42857142857143,9.164533113426323,1.6613521336973407,0.5222904930596985,-1.1321062287761134,-0.00039010814845477637,2.45188171408796e-08,0.4132201278007698
27.142857142857142,9.41222319757298,1.6613924637648236,0.5222992421690029,-1.132106228776388,-0.0003135564348516473,1.5840079272331386e-08,0.413228150807209
27.857142857142858,9.659913281719637,1.6614248851815594,0.5223062748494584,-1.132106228775382,-0.00025201587838624695,1.0232431947209782e-08,0.413234598300814
28.571428571428573,9.907603365866294,1.6614509369582044,0.5223119253798223,-1.1321062287760135,-0.00020256550771627357,6.6107654980778044e-09,0.413239777660645
29.285714285714285,10.155293450012952,1.6614718745533317,0.5223164663526174,-1.1321062287776158,-0.00016282245416765484,4.2711763594205844e-09,0.41324393934276604
30.0,10.402983534159608,1.6614887066706079,0.5223201167235937,-1.1321062287776098,-0.00013087215085133552,2.7593825044711193e-09,0.4132472843990338
30.714285714285715,10.650673618306266,1.6615022348956139,0.5223230504517259,-1.1321062287775177,-0.00010519312769277644,1.782752151217631e-09,0.4132499724848334
31.42857142857143,10.898363702452924,1.6615131071568658,0.5223254081242964,-1.1321062287773707,-8.455555000180803e-05,1.1518595075277764e-09,0.41325213257588467
32.142857142857146,11.146053786599582,1.6615218478250118,0.5223273035022337,-1.132106228777396,-6.796409764492362e-05,7.44172492754214e-10,0.4132538690026172
32.85714285714286,11.393743870746238,1.6615288771625238,0.5223288277501542,-1.1321062287773578,-5.462105361031533e-05,4.806556245910104e-10,0.41325526535114265
33.57142857142857,11.641433954892895,1.661534526720369,0.5223300527828058,-1.1321062287772095,-4.389708368729428e-05,3.104450370789394e-10,0.4132563875449716
34.285714285714285,11.889124039039553,1.6615390616467716,0.5223310361074865,-1.1321062287775268,-3.528889364845522e-05,2.0062685698050002e-10,0.4132572882913253
35.0,12.13681412318621,1.661542708964987,0.5223318269594678,-1.1321062287775967,-2.836555377427885e-05,1.2962691793343454e-10,0.41325801270929396
35.714285714285715,12.384504207332869,1.6615456413601828,0.5223324627878336,-1.1321062287775976,-2.2799276830576254e-05,8.374416312001303e-11,0.4132585951135926
36.42857142857143,12.632194291479525,1.6615479978998597,0.522332973750078,-1.1321062287775905,-1.8326087100534183e-05,5.4106779873570946e-11,0.4132590631352623
37.142857142857146,12.879884375626183,1.6615498912057476,0.5223333842680304,-1.1321062287775743,-1.4732207274908982e-05,3.496613816228549e-11,0.41325943914861313
37.85714285714286,13.127574459772841,1.66155141319941,0.522333714274191,-1.13210622877757,-1.1843152531471057e-05,2.259677906156001e-11,0.4132597414139103
38.57142857142857,13.375264543919496,1.6615526381606942,0.5223339798752628,-1.1321062287775747,-9.517925196211863e-06,1.4594739922969562e-11,0.4132599846859215
39.285714285714285,13.622954628066154,1.6615536243580302,0.522334193705882,-1.132106228777567,-7.64592026530897e-06,9.418271988828628e-12,0.4132601805384064
40.0,13.870644712212812,1.6615544163273372,0.5223343654228843,-1.1321062287775558,-6.142599698166773e-06,6.078774837158386e-12,0.4132603378171279
40.714285714285715,14.118334796359468,1.6615550498762923,0.5223345027904458,-1.132106228777581,-4.9399933550187125e-06,3.931554519491001e-12,0.41326046363396096
41.42857142857143,14.366024880506128,1.6615555597918772,0.5223346133513496,-1.132106228777595,-3.972068476965074e-06,2.541821108264587e-12,0.4132605648978337
42.142857142857146,14.613714964652782,1.6615559704185026,0.5223347023841095,-1.1321062287775945,-3.192614425023832e-06,1.6421182770717008e-12,0.41326064644361926
42.85714285714286,14.861405048799444,1.661556300482287,0.5223347739490205,-1.1321062287775945,-2.5660852153719382e-06,1.0608490983079887e-12,0.41326071199030906
43.57142857142857,15.109095132946097,1.6615565654878501,0.5223348314078634,-1.1321062287775936,-2.0630499092955112e-06,6.856948826976969e-13,0.4132607646170726
44.285714285714285,15.356785217092755,1.6615567781642142,0.522334877520591,-1.1321062287775931,-1.6593462124070424e-06,4.4359376906735704e-13,0.41326080685182187
45.0,15.604475301239413,1.6615569491333821,0.5223349145902968,-1.1321062287775927,-1.3348113805100592e-06,2.870458067410599e-13,0.4132608408040045
45.714285714285715,15.85216538538607,1.6615570870855,0.5223349445011991,-1.132106228777593,-1.0729497279815536e-06,1.85468492166622e-13,0.41326086819940344
46.42857142857143,16.09985546953273,1.6615571987459812,0.5223349687115163,-1.132106228777593,-8.609950341298411e-07,1.1942979219273365e-13,0.4132608903736177
47.142857142857146,16.34754555367939,1.6615572889199806,0.5223349882631113,-1.1321062287775925,-6.898261237509029e-07,7.666385427462141e-14,0.41326090828089984
47.85714285714286,16.595235637826043,1.6615573608995962,0.5223350038697827,-1.1321062287775918,-5.531939160918764e-07,4.9302184142992575e-14,0.41326092257502356
48.57142857142857,16.842925721972698,1.6615574175191847,0.5223350161460791,-1.1321062287775931,-4.4571821805616807e-07,3.2006054117525556e-14,0.4132609338188569
49.285714285714285,17.090615806119356,1.6615574630117025,0.5223350260097953,-1.132106228777594,-3.593640023891176e-07,2.0805612381899148e-14,0.41326094285301
50.0,17.338305890266014,1.6615575001368699,0.5223350340592967,-1.132106228777594,-2.8889274888976857e-07,1.3445737845266263e-14,0.4132609502255269
50.714285714285715,17.585995974412672,1.6615575300202616,0.5223350405386312,-1.1321062287775943,-2.3216788441748903e-07,8.683916564988047e-15,0.41326095615993075
51.42857142857143,17.83368605855933,1.661557554023979,0.5223350457431309,-1.132106228777594,-1.8660385880941988e-07,5.6098673577295765e-15,0.4132609609267164
52.142857142857146,18.081376142705988,1.6615575732084313,0.5223350499027145,-1.132106228777594,-1.5018779597752996e-07,3.633964148433089e-15,0.4132609647364659
52.85714285714286,18.329066226852646,1.6615575884884604,0.5223350532157387,-1.132106228777594,-1.211831368586047e-07,2.36589643177928e-15,0.41326096777085397
53.57142857142857,18.5767563109993,1.6615576006941644,0.522335055862186,-1.1321062287775945,-9.801418338062362e-08,1.5477086137871113e-15,0.4132609701947262
54.285714285714285,18.82444639514596,1.661557610565426,0.5223350580024783,-1.1321062287775936,-7.927648454364444e-08,1.0125118481623424e-15,0.41326097215501256
55.0,19.072136479292617,1.6615576187091554,0.5223350597682059,-1.132106228777594,-6.381799974586322e-08,6.561418249294481e-16,0.4132609737722364
