n_matsubara,max_F_scaled_error,max_X_scaled_error,max_Pi_scaled_error
1.280000000000000000e+02,5.675606313073489062e-02,4.267881078865698452e-02,3.543035821411406883e-02
2.560000000000000000e+02,2.818250682203116142e-02,2.116533632504491447e-02,1.784882598985929048e-02
5.120000000000000000e+02,1.404040381377180680e-02,1.053748287893518931e-02,8.956875395846022186e-03
1.024000000000000000e+03,7.007241048567980357e-03,5.257234136810562397e-03,4.486427221446180266e-03
2.048000000000000000e+03,3.500349113533918199e-03,2.625713722310574205e-03,2.245194765214962845e-03
4.096000000000000000e+03,1.749352796256875564e-03,1.312127700578424871e-03,1.123090613673364494e-03
8.192000000000000000e+03,8.744704690042404138e-04,6.558811440758871569e-04,5.616683555798542742e-04
