time_s,current_A,Rpatch_ohm,Vport_V,Ldiff_H,Psource_W,Pload_W,Ppatch_W,Wsource_J,Qload_J,Qpatch_J,Uext_J,balance_defect_J,wrong_energy_balance_defect_J,current_DOP853_A
8.750000000000000803e-11,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
9.374999999999999938e-11,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.000000000000000036e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.062500000000000079e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.124999999999999993e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.187500000000000035e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.250000000000000078e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.312500000000000121e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.375000000000000163e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.437499999999999947e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.499999999999999990e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.562500000000000033e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.625000000000000075e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.687500000000000118e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.750000000000000161e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.812499999999999945e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
1.874999999999999988e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
