delta_over_Delta0,q_ell0,H_phase_vacuum_at_fixed_a_0p6Delta0
0.05,0.4,2.6807851725589584
0.05,0.4031658291457287,2.6708921124714866
0.05,0.4063316582914573,2.660921061670694
0.05,0.40949748743718595,2.650872020156579
0.05,0.4126633165829146,2.6407449879291423
0.05,0.41582914572864327,2.630539964988384
0.05,0.4189949748743719,2.620256951334304
0.05,0.42216080402010053,2.6098959469669025
0.05,0.4253266331658292,2.5994569518861788
0.05,0.4284924623115578,2.5889399660921333
0.05,0.43165829145728646,2.5783449895847665
0.05,0.4348241206030151,2.5676720223640777
0.05,0.4379899497487437,2.5569210644300675
0.05,0.4411557788944724,2.546092115782735
0.05,0.44432160804020104,2.5351851764220807
0.05,0.44748743718592965,2.5242002463481055
0.05,0.4506532663316583,2.513137325560808
0.05,0.45381909547738697,2.5019964140601885
0.05,0.4569849246231156,2.490777511846248
0.05,0.46015075376884423,2.4794806189189855
0.05,0.4633165829145729,2.468105735278401
0.05,0.4664824120603015,2.4566528609244944
0.05,0.46964824120603016,2.4451219958572663
0.05,0.4728140703517588,2.433513140076717
0.05,0.4759798994974875,2.4218262935828454
0.05,0.47914572864321614,2.4100614563756526
0.05,0.48231155778894474,2.3982186284551377
0.05,0.4854773869346734,2.386297809821301
0.05,0.48864321608040207,2.3742990004741427
0.05,0.49180904522613067,2.362222200413662
0.05,0.49497487437185933,2.3500674096398604
0.05,0.498140703517588,2.337834628152737
0.05,0.5013065326633166,2.3255238559522917
0.05,0.5044723618090452,2.313135093038525
0.05,0.5076381909547739,2.3006683394114362
0.05,0.5108040201005025,2.2881235950710255
0.05,0.5139698492462312,2.275500860017293
0.05,0.5171356783919598,2.2628001342502393
0.05,0.5203015075376884,2.2500214177698634
0.05,0.523467336683417,2.2371647105761663
0.05,0.5266331658291458,2.224230012669146
0.05,0.5297989949748744,2.211217324048806
0.05,0.5329648241206031,2.1981266447151424
0.05,0.5361306532663317,2.184957974668158
0.05,0.5392964824120603,2.1717113139078523
0.05,0.542462311557789,2.158386662434224
0.05,0.5456281407035176,2.144984020247274
0.05,0.5487939698492462,2.1315033873470033
0.05,0.5519597989949749,2.11794476373341
0.05,0.5551256281407035,2.104308149406495
0.05,0.5582914572864321,2.090593544366259
0.05,0.5614572864321609,2.0768009486127
0.05,0.5646231155778895,2.0629303621458197
0.05,0.5677889447236182,2.0489817849656173
0.05,0.5709547738693468,2.034955217072094
0.05,0.5741206030150754,2.0208506584652484
0.05,0.577286432160804,2.0066681091450818
0.05,0.5804522613065327,1.9924075691115928
0.05,0.5836180904522613,1.9780690383647823
0.05,0.58678391959799,1.9636525169046495
0.05,0.5899497487437186,1.9491580047311958
0.05,0.5931155778894472,1.93458550184442
0.05,0.5962814070351758,1.9199350082443227
0.05,0.5994472361809046,1.9052065239309028
0.05,0.6026130653266332,1.8904000489041624
0.05,0.6057788944723619,1.875515583164099
0.05,0.6089447236180905,1.8605531267107147
0.05,0.6121105527638191,1.8455126795440089
0.05,0.6152763819095478,1.8303942416639805
0.05,0.6184422110552764,1.8151978130706308
0.05,0.621608040201005,1.7999233937639598
0.05,0.6247738693467337,1.7845709837439658
0.05,0.6279396984924623,1.769140583010651
0.05,0.6311055276381909,1.753632191564015
0.05,0.6342713567839197,1.738045809404056
0.05,0.6374371859296483,1.7223814365307757
0.05,0.640603015075377,1.7066390729441732
0.05,0.6437688442211056,1.6908187186442503
0.05,0.6469346733668342,1.6749203736310048
0.05,0.6501005025125628,1.6589440379044378
0.05,0.6532663316582915,1.6428897114645489
0.05,0.6564321608040201,1.626757394311338
0.05,0.6595979899497488,1.6105470864448053
0.05,0.6627638190954774,1.594258787864952
0.05,0.665929648241206,1.5778924985717757
0.05,0.6690954773869346,1.5614482185652783
0.05,0.6722613065326634,1.5449259478454591
0.05,0.675427135678392,1.528325686412318
0.05,0.6785929648241207,1.5116474342658546
0.05,0.6817587939698493,1.49489119140607
0.05,0.6849246231155779,1.4780569578329643
0.05,0.6880904522613065,1.4611447335465362
0.05,0.6912562814070352,1.444154518546786
0.05,0.6944221105527639,1.4270863128337143
0.05,0.6975879396984925,1.4099401164073213
0.05,0.7007537688442211,1.3927159292676063
0.05,0.7039195979899497,1.3754137514145701
0.05,0.7070854271356783,1.3580335828482115
0.05,0.7102512562814071,1.3405754235685308
0.05,0.7134170854271358,1.3230392735755288
0.05,0.7165829145728644,1.3054251328692053
0.05,0.719748743718593,1.2877330014495596
0.05,0.7229145728643216,1.2699628793165925
0.05,0.7260804020100503,1.2521147664703038
0.05,0.7292462311557789,1.2341886629106928
0.05,0.7324120603015076,1.2161845686377597
0.05,0.7355778894472362,1.1981024836515064
0.05,0.7387437185929648,1.1799424079519303
0.05,0.7419095477386934,1.161704341539033
0.05,0.7450753768844222,1.1433882844128136
0.05,0.7482412060301508,1.1249942365732724
0.05,0.7514070351758795,1.1065221980204087
0.05,0.7545728643216081,1.0879721687542248
0.05,0.7577386934673367,1.0693441487747188
0.05,0.7609045226130653,1.0506381380818905
0.05,0.764070351758794,1.03185413667574
0.05,0.7672361809045227,1.0129921445562686
0.05,0.7704020100502513,0.9940521617234752
0.05,0.7735678391959799,0.97503418817736
0.05,0.7767336683417085,0.9559382239179243
0.05,0.7798994974874371,0.9367642689451657
0.05,0.7830653266331659,0.9175123232590849
0.05,0.7862311557788946,0.8981823868596827
0.05,0.7893969849246232,0.878774459746959
0.05,0.7925628140703518,0.8592885419209134
0.05,0.7957286432160804,0.839724633381546
0.05,0.7988944723618091,0.8200827341288572
0.05,0.8020603015075377,0.8003628441628465
0.05,0.8052261306532664,0.7805649634835136
0.05,0.808391959798995,0.76068909209086
0.05,0.8115577889447236,0.7407352299848842
0.05,0.8147236180904522,0.7207033771655865
0.05,0.817889447236181,0.700593533632967
0.05,0.8210552763819096,0.6804056993870259
0.05,0.8242211055276383,0.6601398744277622
0.05,0.8273869346733669,0.6397960587551783
0.05,0.8305527638190955,0.6193742523692718
0.05,0.8337185929648241,0.5988744552700438
0.05,0.8368844221105528,0.5782966674574934
0.05,0.8400502512562815,0.5576408889316217
0.05,0.8432160804020101,0.5369071196924281
0.05,0.8463819095477387,0.516095359739913
0.05,0.8495477386934673,0.495205609074077
0.05,0.8527135678391959,0.4742378676949187
0.05,0.8558793969849247,0.45319213560243765
0.05,0.8590452261306534,0.4320684127966356
0.05,0.862211055276382,0.4108666992775117
0.05,0.8653768844221106,0.38958699504506594
0.05,0.8685427135678392,0.3682293000992996
0.05,0.8717085427135679,0.3467936144402097
0.05,0.8748743718592965,0.3252799380677992
0.05,0.8780402010050252,0.30368827098206597
0.05,0.8812060301507538,0.28201861318301225
0.05,0.8843718592964824,0.2602709646706366
0.05,0.887537688442211,0.23844532544493866
0.05,0.8907035175879398,0.21654169550591928
0.05,0.8938693467336684,0.19456007485357807
0.05,0.8970351758793971,0.17250046348791456
0.05,0.9002010050251257,0.1503628614089305
0.05,0.9033668341708543,0.1281472686166241
0.05,0.906532663316583,0.105853685110995
0.05,0.9096984924623116,0.08348211089204621
0.05,0.9128643216080402,0.06103254595977424
0.05,0.9160301507537689,0.03850499031417997
0.05,0.9191959798994975,0.015899443955265154
0.05,0.9223618090452261,-0.006784093116971087
0.05,0.9255276381909548,-0.029545620902530503
0.05,0.9286934673366835,-0.05238513940141091
0.05,0.9318592964824121,-0.07530264861361186
0.05,0.9350251256281408,-0.09829814853913688
0.05,0.9381909547738694,-0.12137163917798244
0.05,0.941356783919598,-0.14452312053014854
0.05,0.9445226130653267,-0.1677525925956387
0.05,0.9476884422110553,-0.19106005537444942
0.05,0.9508542713567839,-0.214445508866582
0.05,0.9540201005025126,-0.2379089530720364
0.05,0.9571859296482412,-0.2614503879908123
0.05,0.96035175879397,-0.2850698136229109
0.05,0.9635175879396985,-0.3087672299683296
0.05,0.9666834170854272,-0.33254263702707065
0.05,0.9698492462311559,-0.3563960347991344
0.05,0.9730150753768845,-0.38032742328451824
0.05,0.9761809045226131,-0.40433680248322484
0.05,0.9793467336683418,-0.42842417239525377
