nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
9.999909999999999355e-02,3.360543999999999789e-86,2.841087000000000061e-06,9.471507626821391829e-08
1.000500000000000000e-01,3.360543999999999789e-86,2.844005000000000141e-06,9.485976185961393786e-08
1.016380000000000061e-01,3.360543999999999789e-86,2.935001000000000091e-06,9.944829262361395723e-08
1.032779999999999948e-01,3.360543999999999789e-86,3.030442000000000131e-06,1.043399558836139201e-07
1.049169999999999964e-01,3.360543999999999789e-86,3.127410000000000183e-06,1.093863155976139204e-07
1.065559999999999979e-01,3.360543999999999789e-86,3.225904999999999821e-06,1.145928572401139186e-07
1.081960000000000005e-01,3.360543999999999789e-86,3.325928000000000134e-06,1.199653603001139225e-07
1.098350000000000021e-01,3.360543999999999789e-86,3.427476999999999795e-06,1.254997756976139364e-07
1.100550000000000000e-01,3.360543999999999789e-86,3.441313999999999947e-06,1.262553427076139292e-07
1.114740000000000036e-01,3.360543999999999789e-86,3.530552999999999890e-06,1.312018823441139455e-07
1.131140000000000062e-01,3.360543999999999789e-86,3.635155999999999997e-06,1.370777637241139534e-07
1.147529999999999939e-01,3.360543999999999789e-86,3.741286999999999930e-06,1.431227587626139110e-07
1.163919999999999955e-01,3.360543999999999789e-86,3.848944000000000058e-06,1.493429530671139186e-07
1.180319999999999980e-01,3.360543999999999789e-86,3.958128999999999589e-06,1.557447529271139266e-07
1.196709999999999996e-01,3.360543999999999789e-86,4.068840000000000163e-06,1.623228540226139435e-07
1.200600000000000001e-01,3.360543999999999789e-86,4.095480999999999693e-06,1.639108144571139343e-07
1.213100000000000012e-01,3.360543999999999789e-86,4.181078999999999716e-06,1.690836644571139355e-07
1.229500000000000037e-01,3.360543999999999789e-86,4.294844999999999704e-06,1.760339221371139429e-07
1.245890000000000053e-01,3.360543999999999789e-86,4.410136999999999887e-06,1.831676548861139407e-07
1.262280000000000069e-01,3.360543999999999789e-86,4.526956999999999897e-06,1.904916034191139390e-07
1.278680000000000094e-01,3.360543999999999789e-86,4.645304000000000341e-06,1.980128574391139485e-07
