step_ps,current_DOP853_error_over_Ib,KVL_residual_over_RLIb,power_residual_over_RLIb2,energy_defect_over_L0Ib2,eta0_exact_current_error_over_Ib,eta0_energy_defect_over_L0Ib2
1.000000000000000000e+02,9.990574926233009023e-07,6.427962251143171102e-05,4.703055757238061574e-05,2.273574442312797927e-03,4.347715394592555072e-06,4.473710301702016334e-03
5.000000000000000000e+01,5.929372093316231940e-08,4.108046770312512308e-06,2.975892517742551036e-06,5.680705810411912360e-04,2.499307919512361309e-07,1.118975317979165052e-03
2.500000000000000000e+01,3.608119525377873060e-09,2.582094111858168617e-07,1.871588852786487678e-07,1.419984339603441725e-04,1.498207280459240565e-08,2.797858702121014396e-04
1.250000000000000000e+01,2.225428730184830783e-10,1.616441247520583602e-08,1.170676910966506057e-08,3.549844311045990963e-05,9.170586512396994294e-10,6.994933245890733176e-05
6.250000000000000000e+00,1.381128544863940988e-11,1.010499239839646179e-09,7.318230466069053364e-10,8.874538660275099744e-06,5.671974001586477243e-11,1.748751957508787314e-05
