delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,3.822011027860665e-05,6.74155712283093e-05,0.015288034360330705,-2.208371435697769e-05,6.407174856160838,0.00018678774483687588
0.05,3.859325798391431e-05,6.807375786088612e-05,0.01543729316996758,-2.228668103765514e-05,6.407174855772547,0.0001886113768913228
0.05,3.8970048776825896e-05,6.873837045165837e-05,0.015588009206742283,-2.2491256067052127e-05,6.4071748553766446,0.00019045281329294322
0.05,3.935051822526013e-05,6.940947173805696e-05,0.015740196697590074,-2.2697444137721314e-05,6.407174854972981,0.00019231222786779658
0.05,3.9734702244390035e-05,7.008712507002654e-05,0.015893870008341034,-2.2905249663841675e-05,6.4071748545614025,0.00019418979613902867
0.05,4.012263710003269e-05,7.077139441600484e-05,0.01604904364507587,-2.3114676768984572e-05,6.407174854141754,0.00019608569534343886
0.05,4.0514359412072944e-05,7.14623443689614e-05,0.01620573225549508,-2.3325729273481963e-05,6.4071748537138795,0.00019800010444821124
0.05,4.090990615792017e-05,7.216004015249504e-05,0.016363950630301518,-2.3538410681385214e-05,6.407174853277613,0.00019993320416780914
0.05,4.1309314675998793e-05,7.286454762699074e-05,0.016523713704596352,-2.3752724167003567e-05,6.407174852832796,0.00020188517698103354
0.05,4.171262266927293e-05,7.357593329583654e-05,0.016685036559288702,-2.396867256100676e-05,6.407174852379258,0.00020385620714824862
0.05,4.2119868208805455e-05,7.429426431170137e-05,0.01684793442251901,-2.418625833608158e-05,6.407174851916831,0.00020584648072877526
0.05,4.2531089737351674e-05,7.501960848287384e-05,0.017012422671096303,-2.4405483592127796e-05,6.407174851445333,0.00020785618559845422
0.05,4.2946326072988575e-05,7.575203427966381e-05,0.01717851683194963,-2.4626350040979347e-05,6.407174850964596,0.00020988551146738286
0.05,4.336561641277863e-05,7.649161084086487e-05,0.017346232583593316,-2.4848858990638263e-05,6.4071748504744335,0.00021193464989782031
0.05,4.3789000336470195e-05,7.723840798028135e-05,0.017515585757606877,-2.5073011329003913e-05,6.407174849974661,0.00021400379432227242
0.05,4.421651781023365e-05,7.799249619331843e-05,0.017686592340129176,-2.529880750708517e-05,6.407174849465094,0.00021609314006175028
0.05,4.464820919043407e-05,7.875394666363675e-05,0.01785926847336725,-2.5526247521680723e-05,6.407174848945537,0.00021820288434420854
0.05,4.50841152274407e-05,7.952283126987175e-05,0.018033630457119813,-2.5755330897506786e-05,6.407174848415796,0.00022033322632316262
0.05,4.552427706947396e-05,8.029922259241931e-05,0.018209694750315697,-2.598605666876309e-05,6.407174847875673,0.0002224843670964891
0.05,4.596873626648922e-05,8.108319392028633e-05,0.01838747797256714,-2.6218423360113424e-05,6.40717484732496,0.00022465650972540725
0.05,4.6417534774099365e-05,8.187481925800959e-05,0.018566996905738438,-2.6452428967069216e-05,6.407174846763455,0.0002268498592536485
0.05,4.687071495753512e-05,8.267417333264129e-05,0.018748268495529803,-2.668807093575395e-05,6.407174846190943,0.00022906462272681173
0.05,4.732831959564428e-05,8.348133160080321e-05,0.018931309853076665,-2.692534614203297e-05,6.407174845607209,0.00023130100921190755
0.05,4.779039188492984e-05,8.429637025580947e-05,0.019116138256564656,-2.7164250869989133e-05,6.407174845012035,0.000233559229817094
0.05,4.8256975443627666e-05,8.5119366234859e-05,0.019302771152860235,-2.7404780789724745e-05,6.407174844405199,0.00023583949771160398
0.05,4.872811431582379e-05,8.595039722629801e-05,0.019491226159157316,-2.764693093446878e-05,6.407174843786466,0.00023814202814586755
0.05,4.920385297561245e-05,8.678954167695421e-05,0.019681521064640096,-2.7890695676972672e-05,6.407174843155609,0.0002404670384718331
0.05,4.968423633129373e-05,8.763687879954091e-05,0.019873673832161674,-2.813606870516881e-05,6.407174842512385,0.0002428147481634812
0.05,5.0169309729613126e-05,8.849248858013519e-05,0.02006770259993959,-2.838304299707446e-05,6.407174841856557,0.00024518537883754513
0.05,5.065911896004209e-05,8.93564517857281e-05,0.02026362568326749,-2.8631610794914396e-05,6.407174841187878,0.0002475791542744293
0.05,5.11537102591004e-05,9.022884997184894e-05,0.02046146157624381,-2.888176357844613e-05,6.407174840506096,0.00024999630043933427
0.05,5.165313031472071e-05,9.11097654902637e-05,0.02066122895351702,-2.9133492037454123e-05,6.407174839810953,0.00025243704550358657
0.05,5.215742627065573e-05,9.199928149674875e-05,0.02086294667204814,-2.9386786043401002e-05,6.407174839102186,0.0002549016198661773
0.05,5.266664573092879e-05,9.289748195894121e-05,0.02106663377289051,-2.9641634620200455e-05,6.407174838379533,0.000257390256175513
0.05,5.318083676432693e-05,9.380445166426411e-05,0.02127230948298651,-2.989802591409169e-05,6.407174837642721,0.00025990318935137407
0.05,5.370004790893888e-05,9.472027622793078e-05,0.021479993216982258,-3.015594716258809e-05,6.407174836891472,0.0002624406566070917
0.05,5.422432817673675e-05,9.564504210102659e-05,0.021689704579059874,-3.0415384662472843e-05,6.407174836125504,0.00026500289747194097
0.05,5.475372705820269e-05,9.657883657866952e-05,0.021901463364787512,-3.0676323736814e-05,6.407174835344526,0.0002675901538137505
0.05,5.528829452700056e-05,9.752174780825067e-05,0.02211528956298758,-3.09387487009694e-05,6.407174834548249,0.0002702026698617343
0.05,5.5828081044693385e-05,9.847386479775511e-05,0.022331203357623158,-3.120264282755476e-05,6.407174833736372,0.00027284069222954706
0.05,5.637313756550656e-05,9.943527742416362e-05,0.022549225129702692,-3.146798831034041e-05,6.407174832908588,0.0002755044699385619
0.05,5.6923515541138314e-05,0.00010040607644193784,0.022769375459203645,-3.173476622705056e-05,6.407174832064588,0.00027819425444138045
0.05,5.7479266925615884e-05,0.00010138635349158578,0.02299167512701432,-3.200295650102907e-05,6.407174831204055,0.0002809102996455653
0.05,5.804044418020025e-05,0.00010237620110831338,0.02321614511689518,-3.2272537861742475e-05,6.407174830326666,0.0002836528619376108
0.05,5.860710027833825e-05,0.00010337571273075924,0.02344280661745906,-3.254348780408272e-05,6.407174829432089,0.00028642220020714404
0.05,5.917928871066308e-05,0.00010438498270981502,0.023671681024170693,-3.281578254643754e-05,6.407174828519985,0.0002892185758713637
0.05,5.975706349004355e-05,0.00010540410631753165,0.023902789941365767,-3.308939698749544e-05,6.407174827590019,0.00029204225289971664
