nodes,energy_J_m3,relative_error_to_adaptive_integral,relative_modes_error
101,576774.5147215617,1.106339144518742e-06,4.999999999988347e-05
501,576775.1311197716,3.76415646430317e-08,1.9999999998354667e-06
1001,576775.147432605,9.358735009179497e-09,5.00000000069889e-07
